"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Aaron Dell","17-19","S.J","G",4,136.25,7.17,69.07,101.97,7.84,89.62,92.97,92.31,0.66,-1.24,0.67
"Adin Hill","22-24","VGK","G",19,1089.61,37.67,545.99,783.1,54.27,93.1,95.19,93.07,2.12,14.85,16.6
"Akira Schmid","22-23","N.J","G",9,459.77,17.3,224.96,332.7,21.81,92.31,94.8,93.44,1.36,4.27,4.51
"Alex Lyon","22-23","FLA","G",4,198.53,11.75,109.69,159.9,9.71,89.29,92.65,93.93,-1.28,-1.24,-2.04
"Alex Nedeljkovic","20-21","CAR","G",9,607.52,21.76,277.81,409.4,23.45,92.17,94.68,94.27,0.41,0.71,1.69
"Alex Stalock","13-14","S.J","G",3,117.03,3.87,60.66,87.2,4.83,93.62,95.56,94.46,1.1,1.49,0.96
"Alex Stalock","17-20","MIN","G",5,285.25,13.3,133.87,196.68,12,90.06,93.24,93.9,-0.66,-1.98,-1.3
"Alexandar Georgiev","22-24","COL","G",15,899.7,41.65,429.75,628.54,40.65,90.31,93.37,93.53,-0.16,0.07,-1
"Anders Lindback","13-14","T.B","G",4,214.52,14.22,122.81,172.87,9.47,88.42,91.77,94.52,-2.75,-3.37,-4.75
"Andrei Vasilevskiy","14-24","T.B","G",115,6968.06,281.04,3463.13,4772.21,308.41,91.88,94.11,93.54,0.57,15.82,27.37
"Andrew Hammond","14-15","OTT","G",2,122.15,6.52,79.15,101.62,5.64,91.76,93.58,94.45,-0.87,-0.25,-0.88
"Andrew Hammond","17-18","COL","G",3,137.48,6.29,95.5,129.24,7.78,93.41,95.13,93.98,1.15,2.16,1.49
"Anton Khudobin","18-20","DAL","G",25,1440.21,66.45,803.51,1085.03,76.72,91.73,93.88,92.93,0.95,1.02,10.27
"Antti Niemi","09-10","CHI","G",22,1321.85,58.18,640.42,894.93,59.24,90.92,93.5,93.38,0.12,0.82,1.06
"Antti Niemi","10-14","S.J","G",40,2340,108.72,1145.15,1612.58,92.93,90.51,93.26,94.24,-0.98,-14.29,-15.79
"Antti Niemi","15-16","DAL","G",5,237.02,13.23,99.81,141.86,9.02,86.74,90.67,93.64,-2.97,-4.94,-4.21
"Antti Raanta","15-16","NYR","G",3,93.83,4.16,42.39,60.18,4.3,90.19,93.09,92.85,0.23,-0.64,0.14
"Antti Raanta","21-23","CAR","G",19,1026.6,39.77,488.64,707.74,47.97,91.86,94.38,93.22,1.16,4.07,8.2
"Arturs Silovs","23-24","VAN","G",6,361.97,16.15,171.74,271.53,19.28,90.6,94.05,92.9,1.15,0.72,3.13
"Ben Bishop","14-16","T.B","G",36,2041.4,72.05,962.29,1347.6,79.1,92.51,94.65,94.13,0.52,5.31,7.05
"Ben Bishop","18-20","DAL","G",16,943.58,41.77,515.7,688.91,43.37,91.9,93.94,93.7,0.23,1.39,1.6
"Braden Holtby","11-20","WSH","G",97,6012.78,211.85,2875.11,4176.03,246.12,92.63,94.93,94.11,0.82,24.65,34.27
"Brian Boucher","09-11","PHI","G",21,1077.99,49.38,525.74,742.44,45.9,90.61,93.35,93.82,-0.47,-2.61,-3.48
"Brian Elliott","09-10","OTT","G",4,202.88,14.22,95.92,140.44,7.5,85.18,89.87,94.66,-4.78,-5.39,-6.72
"Brian Elliott","11-16","STL","G",33,1917.05,74.18,887.86,1301.97,81.64,91.65,94.3,93.73,0.57,-2.16,7.46
"Brian Elliott","16-17","CGY","G",4,185.33,11.78,97.98,147.88,7.87,87.98,92.03,94.68,-2.64,-3.98,-3.91
"Brian Elliott","17-20","PHI","G",7,316.58,20.07,157.16,216.7,13.94,87.23,90.74,93.57,-2.83,-6.41,-6.13
"Cam Talbot","16-17","EDM","G",13,799.38,33.31,427.7,621.96,40.42,92.21,94.64,93.5,1.14,0.73,7.11
"Cam Talbot","19-20","CGY","G",10,595.55,23.92,313.38,442.27,26.38,92.37,94.59,94.04,0.56,2.4,2.46
"Cam Talbot","20-22","MIN","G",8,474.33,20.89,247.65,360.85,21.11,91.56,94.21,94.15,0.06,-0.71,0.22
"Cam Talbot","23-24","L.A","G",3,181,16.44,122.17,157.66,13.36,86.54,89.57,91.53,-1.95,-4.43,-3.08
"Cam Ward","08-09","CAR","G",17,1043.38,46.05,550.25,737.83,47.27,91.63,93.76,93.59,0.17,0.63,1.22
"Carey Price","07-21","MTL","G",91,5481.9,219.16,2701.96,3786.74,217.94,91.89,94.21,94.24,-0.03,5.19,-1.22
"Carter Hart","19-20","PHI","G",14,859.63,32.4,428,649.94,39.08,92.43,95.01,93.99,1.03,3.54,6.68
"Casey Desmith","21-22","PIT","G",1,89.12,2.85,50.12,56.72,3.03,94.31,94.98,94.66,0.32,1.49,0.18
"Casey Desmith","23-24","VAN","G",2,118.97,4.14,44.27,66.91,4.45,90.65,93.81,93.35,0.46,0.21,0.31
"Charlie Lindgren","23-24","WSH","G",4,234.52,14.19,107.31,166.95,10.47,86.78,91.5,93.73,-2.23,-3.65,-3.72
