"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Adin Hill","23-24","VGK","G",18,1021.13,32.17,505.96,766.12,52.1,93.64,95.8,93.2,2.6,16.49,19.93
"Akira Schmid","23-24","N.J","G",15,755.53,41.62,386.96,536.85,38.61,89.24,92.25,92.81,-0.56,-4.4,-3.01
"Alex Lyon","23-24","DET","G",21,1192.97,50.03,638.11,902.9,60.62,92.16,94.46,93.29,1.17,11.33,10.59
"Alex Nedeljkovic","23-24","PIT","G",16,898.98,38.96,469.03,685.64,43.44,91.69,94.32,93.66,0.65,6.15,4.48
"Alexandar Georgiev","23-24","COL","G",42,2456.87,117.61,1152.36,1628.15,119.14,89.79,92.78,92.68,0.09,-6.79,1.53
"Andrei Vasilevskiy","23-24","T.B","G",27,1593.42,74.46,738.29,1053.62,77.01,89.91,92.93,92.69,0.24,-3.46,2.55
"Anthony Stolarz","23-24","FLA","G",16,882.1,30.81,363.89,546.23,36.37,91.53,94.36,93.34,1.02,4.18,5.56
"Anton Forsberg","23-24","OTT","G",16,824.9,47.39,415.02,555.32,42.4,88.58,91.47,92.36,-0.9,-7.48,-4.99
"Antti Raanta","23-24","CAR","G",23,1245.18,63.49,492,704.5,55.14,87.1,90.99,92.17,-1.19,-16.17,-8.35
"Arvid Soderblom","23-24","CHI","G",20,1077.2,72.38,586.17,838.3,65.04,87.65,91.37,92.24,-0.88,-16.01,-7.34
"Calvin Petersen","23-24","PHI","G",3,159.98,9.47,83.96,128.42,7.99,88.72,92.63,93.78,-1.15,-1.4,-1.48
"Calvin Pickard","23-24","EDM","G",8,461.72,17.72,210.22,289.98,19.37,91.57,93.89,93.32,0.57,2.5,1.65
"Cam Talbot","23-24","L.A","G",32,1851.82,79.93,883.85,1254.12,87.62,90.96,93.63,93.01,0.61,5.07,7.69
"Carter Hart","23-24","PHI","G",26,1455.18,68.42,731.88,1036.75,70.17,90.65,93.4,93.23,0.17,1.96,1.75
"Casey Desmith","23-24","VAN","G",15,860.62,36.93,405.63,581.75,41.95,90.9,93.65,92.79,0.86,2.08,5.02
"Cayden Primeau","23-24","MTL","G",11,625.45,35.35,347.13,504.92,35.13,89.82,93,93.04,-0.04,-1.97,-0.22
"Charlie Lindgren","23-24","WSH","G",22,1219.88,55.55,633.85,918.58,64.12,91.24,93.95,93.02,0.93,5.41,8.57
"Chris Driedger","23-24","SEA","G",2,119.58,4.72,59.02,90.44,6.33,92,94.78,93,1.78,0.96,1.61
"Connor Hellebuyck","23-24","WPG","G",36,2163.67,80.56,1035.07,1487.38,107.23,92.22,94.58,92.79,1.79,18.98,26.67
"Connor Ingram","23-24","ARI","G",32,1796.33,78.35,930.28,1353.69,97.83,91.58,94.21,92.77,1.44,11.12,19.48
"Dan Vladar","23-24","CGY","G",16,935.33,49.97,456.9,676.36,44.96,89.06,92.61,93.35,-0.74,-6.03,-5.01
"Daniil Tarasov (G)","23-24","CBJ","G",10,602.33,38.64,324.98,449.51,28.85,88.11,91.4,93.58,-2.18,-7.39,-9.79
"Darcy Kuemper","23-24","WSH","G",25,1448.82,77.9,733.49,1092.12,78.48,89.38,92.87,92.81,0.05,-7.36,0.58
"David Rittich","23-24","L.A","G",11,604.08,20.78,274.28,403.23,30.97,92.42,94.85,92.32,2.53,5.6,10.19
