"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Adin Hill","2023-10-10","2023020003","20232024","VGK","SEA","1","G",60,100,1.01,31.57,46.07,4.39,96.79,97.8,90.47,7.34,3.38
"Adin Hill","2023-10-14","2023020031","20232024","VGK","ANA","1","G",59.05,98.42,1.01,22.45,34.12,2.31,95.49,97.03,93.23,3.81,1.3
"Adin Hill","2023-10-17","2023020048","20232024","VGK","DAL","1","G",64.23,98.82,2.12,27.55,39.56,2.77,92.3,94.64,92.99,1.64,0.65
"Adin Hill","2023-10-21","2023020071","20232024","VGK","CHI","0","G",59.45,99.08,2.81,22.24,31.28,1.66,87.37,91.02,94.7,-3.68,-1.15
"Adin Hill","2023-10-27","2023020111","20232024","VGK","CHI","1","G",62.83,100,4.18,24.54,40.82,2.29,82.99,89.77,94.38,-4.61,-1.88
"Adin Hill","2023-10-30","2023020138","20232024","VGK","MTL","1","G",64.33,98.97,2.02,38.99,55.32,3.45,94.82,96.35,93.76,2.59,1.43
"Adin Hill","2023-11-04","2023020173","20232024","VGK","COL","1","G",60,100,0,39.63,54.88,3.27,100,100,94.04,5.96,3.27
"Adin Hill","2023-11-08","2023020192","20232024","VGK","L.A","1","G",58.38,97.31,3.43,35.36,54.8,3.73,90.31,93.75,93.19,0.55,0.3
"Adin Hill","2023-11-10","2023020209","20232024","VGK","S.J","1","G",60,100,0,18.68,28.15,1.27,100,100,95.5,4.5,1.27
"Adin Hill","2023-11-16","2023020244","20232024","VGK","MTL","0","G",60,100,4.9,27.88,36.96,2.88,82.43,86.74,92.2,-5.45,-2.01
"Adin Hill","2023-11-19","2023020269","20232024","VGK","PIT","0","G",59.9,99.83,1.93,33.57,51.39,3.85,94.24,96.24,92.5,3.74,1.92
"Adin Hill","2023-11-22","2023020289","20232024","VGK","DAL","0","G",61.95,100,0.94,29.83,43.63,2.58,96.86,97.85,94.08,3.77,1.64
"Adin Hill","2023-11-27","2023020325","20232024","VGK","CGY","0","G",64.58,99.49,1.87,31.6,54.17,3.57,94.09,96.55,93.41,3.14,1.7
"Adin Hill","2023-11-30","2023020353","20232024","VGK","VAN","0","G",40,66.67,0,14.18,24.64,1.7,100,100,93.1,6.9,1.7
"Adin Hill","2023-12-17","2023020478","20232024","VGK","OTT","1","G",6.42,10.69,1.01,2.89,4.83,0.41,65.19,79.15,91.49,-12.33,-0.6
"Adin Hill","2024-01-23","2023020733","20232024","VGK","NYI","0","G",60,100,1.9,38.2,58.13,4.43,95.03,96.73,92.39,4.35,2.53
"Adin Hill","2024-01-26","2023020755","20232024","VGK","NYR","0","G",60,100,1.97,34.81,50.04,3.31,94.34,96.06,93.39,2.67,1.34
"Adin Hill","Total","-","23-24","VGK","-","-","G",56.54,92.44,31.09,473.98,708.79,47.88,93.44,95.61,93.25,2.37,16.79
