"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Alexandar Georgiev","2023-10-11","2023020008","20232024","COL","L.A","0","G",60,100,1.88,32.13,43.63,3.3,94.16,95.7,92.43,3.27,1.43
"Alexandar Georgiev","2023-10-14","2023020030","20232024","COL","S.J","0","G",64.2,98.77,0.94,21.5,38.73,2.98,95.61,97.56,92.31,5.25,2.03
"Alexandar Georgiev","2023-10-17","2023020046","20232024","COL","SEA","0","G",60,100,0.94,36.06,47.18,2.78,97.38,98,94.1,3.89,1.84
"Alexandar Georgiev","2023-10-19","2023020061","20232024","COL","CHI","1","G",60,100,0,17.54,26.26,2.2,100,100,91.61,8.39,2.2
"Alexandar Georgiev","2023-10-21","2023020076","20232024","COL","CAR","1","G",60,100,4.14,27.46,42.53,3.96,84.92,90.27,90.68,-0.42,-0.18
"Alexandar Georgiev","2023-10-24","2023020090","20232024","COL","NYI","0","G",59.53,99.22,3.69,30.94,44.34,2.9,88.08,91.68,93.47,-1.78,-0.79
"Alexandar Georgiev","2023-10-26","2023020105","20232024","COL","PIT","0","G",51.92,86.53,3.91,25.75,34.18,1.62,84.82,88.56,95.26,-6.7,-2.29
"Alexandar Georgiev","2023-10-29","2023020126","20232024","COL","BUF","0","G",59.22,98.69,2.92,29.52,35.85,2.53,90.11,91.85,92.94,-1.08,-0.39
"Alexandar Georgiev","2023-11-04","2023020173","20232024","COL","VGK","0","G",60,100,6.87,34.81,42.99,2.52,80.26,84.01,94.13,-10.12,-4.35
"Alexandar Georgiev","2023-11-07","2023020188","20232024","COL","N.J","1","G",60,100,3.14,23.32,32.52,2.22,86.52,90.34,93.17,-2.83,-0.92
"Alexandar Georgiev","2023-11-11","2023020219","20232024","COL","STL","1","G",42.82,71.36,6.75,32.28,34.68,2.37,79.08,80.53,93.18,-12.65,-4.39
"Alexandar Georgiev","2023-11-13","2023020228","20232024","COL","SEA","0","G",59.73,99.56,0.94,18.83,35.4,2.22,94.98,97.33,93.73,3.6,1.27
"Alexandar Georgiev","2023-11-15","2023020240","20232024","COL","ANA","1","G",59.88,99.81,2.02,15.94,25.42,2.37,87.3,92.04,90.69,1.34,0.34
"Alexandar Georgiev","2023-11-18","2023020264","20232024","COL","DAL","0","G",60,100,2.93,28.86,42.12,3.11,89.86,93.05,92.61,0.44,0.19
"Alexandar Georgiev","2023-11-20","2023020275","20232024","COL","NSH","0","G",59.23,98.72,3.96,28.1,36.26,3.42,85.92,89.09,90.57,-1.48,-0.54
"Alexandar Georgiev","2023-11-22","2023020291","20232024","COL","VAN","1","G",60,100,2.14,28.94,40.83,2.86,92.59,94.75,93.01,1.74,0.71
"Alexandar Georgiev","2023-11-24","2023020306","20232024","COL","MIN","0","G",60,100,1.8,19.13,31.88,3.07,90.57,94.34,90.38,3.97,1.26
"Alexandar Georgiev","2023-11-27","2023020324","20232024","COL","T.B","1","G",59.92,99.86,1.01,36.13,53.57,5.09,97.2,98.11,90.49,7.62,4.08
"Alexandar Georgiev","2023-11-30","2023020350","20232024","COL","ARI","0","G",64.65,100,3.68,31.04,46.19,3.69,88.15,92.04,92,0.04,0.02
"Alexandar Georgiev","2023-12-03","2023020373","20232024","COL","L.A","0","G",58.47,97.44,2.87,35.9,52.9,3.34,92,94.57,93.69,0.88,0.47
"Alexandar Georgiev","2023-12-05","2023020386","20232024","COL","ANA","1","G",60,100,2.08,32.04,37.04,3.14,93.5,94.38,91.53,2.86,1.06
"Alexandar Georgiev","2023-12-07","2023020402","20232024","COL","WPG","1","G",58.93,98.22,3.2,29.3,40.16,1.81,89.07,92.02,95.5,-3.48,-1.4
"Alexandar Georgiev","2023-12-11","2023020431","20232024","COL","CGY","1","G",40,66.67,5.28,22.81,31.34,2.58,76.87,83.16,91.76,-8.6,-2.69
"Alexandar Georgiev","2023-12-17","2023020477","20232024","COL","S.J","1","G",60,100,2.01,25.17,33.58,2.85,92.01,94.01,91.52,2.49,0.84
"Alexandar Georgiev","2023-12-19","2023020492","20232024","COL","CHI","0","G",58.25,97.08,2.82,21.22,33.64,2.2,86.73,91.63,93.47,-1.84,-0.62
"Alexandar Georgiev","2023-12-21","2023020507","20232024","COL","OTT","1","G",59.37,98.94,4.2,47.62,61.59,5.5,91.18,93.18,91.07,2.11,1.3
"Alexandar Georgiev","2023-12-23","2023020525","20232024","COL","ARI","1","G",60,100,1.01,24.07,30.71,2.34,95.82,96.72,92.37,4.36,1.34
"Alexandar Georgiev","2023-12-27","2023020537","20232024","COL","ARI","0","G",64.67,100,4.88,25.32,40.92,2.98,80.73,88.07,92.72,-4.64,-1.9
"Alexandar Georgiev","2023-12-29","2023020552","20232024","COL","STL","0","G",60,100,0.87,27.79,48.59,3.16,96.88,98.22,93.5,4.72,2.29
"Alexandar Georgiev","2023-12-31","2023020571","20232024","COL","S.J","1","G",59.8,99.67,1.01,10.81,19.76,1.1,90.69,94.91,94.42,0.49,0.1
"Alexandar Georgiev","2024-01-02","2023020582","20232024","COL","NYI","1","G",60.47,99.89,4.27,23.78,30.65,1.67,82.04,86.07,94.56,-8.49,-2.6
"Alexandar Georgiev","2024-01-04","2023020593","20232024","COL","DAL","0","G",62.28,97.83,3.87,32.55,49.65,4.09,88.11,92.2,91.76,0.44,0.22
"Alexandar Georgiev","2024-01-06","2023020606","20232024","COL","FLA","1","G",30.92,51.53,3.12,16.87,19.32,1.71,81.47,83.83,91.13,-7.3,-1.41
"Alexandar Georgiev","2024-01-08","2023020624","20232024","COL","BOS","1","G",65,100,3.1,26.74,37.89,3.7,88.4,91.82,90.24,1.58,0.6
"Alexandar Georgiev","2024-01-10","2023020637","20232024","COL","VGK","1","G",60,100,0,24.75,37.79,2.81,100,100,92.58,7.42,2.81
"Alexandar Georgiev","2024-01-13","2023020662","20232024","COL","TOR","0","G",59.57,99.28,2.92,30.35,44.64,2.78,90.38,93.46,93.78,-0.32,-0.14
"Alexandar Georgiev","2024-01-15","2023020678","20232024","COL","MTL","0","G",58.13,96.89,3.68,32.36,36.12,2.37,88.62,89.81,93.44,-3.63,-1.31
"Alexandar Georgiev","2024-01-18","2023020692","20232024","COL","BOS","0","G",58.62,97.69,3.92,31.28,40.62,2.29,87.49,90.36,94.36,-4,-1.62
"Alexandar Georgiev","2024-01-20","2023020707","20232024","COL","PHI","0","G",60,100,3.75,36.06,48.36,4.01,89.6,92.24,91.71,0.53,0.26
"Alexandar Georgiev","2024-01-24","2023020742","20232024","COL","WSH","1","G",60,100,2.09,24.31,45.02,2.89,91.39,95.35,93.57,1.77,0.8
"Alexandar Georgiev","2024-01-26","2023020757","20232024","COL","L.A","1","G",59.5,99.17,1.01,25.63,34.05,2.34,96.08,97.05,93.12,3.92,1.34
"Alexandar Georgiev","Total","-","23-24","COL","-","-","G",58.42,96.44,115.63,1125.04,1588.91,116.87,89.72,92.72,92.64,0.08,1.23
