"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Anton Forsberg","2023-10-14","2023020019","20232024","OTT","PHI","1","G",59.73,99.56,2.09,20.11,31.03,3.19,89.62,93.28,89.71,3.56,1.11
"Anton Forsberg","2023-10-18","2023020049","20232024","OTT","WSH","1","G",60,100,1.01,22.9,31.54,2.86,95.58,96.79,90.92,5.87,1.85
"Anton Forsberg","2023-10-24","2023020085","20232024","OTT","BUF","1","G",40,66.67,5.46,20.58,26.38,1.77,73.48,79.31,93.29,-13.97,-3.69
"Anton Forsberg","2023-11-04","2023020162","20232024","OTT","T.B","1","G",33.43,55.72,3.33,19.43,25.62,2.1,82.89,87.02,91.81,-4.79,-1.23
"Anton Forsberg","2023-11-09","2023020197","20232024","OTT","VAN","1","G",60,100,5.45,17.74,25.79,2.13,69.3,78.88,91.72,-12.84,-3.31
"Anton Forsberg","2023-11-18","2023020254","20232024","OTT","MIN","1","G",65,100,1.06,26.43,39.41,1.93,95.99,97.31,95.09,2.21,0.87
"Anton Forsberg","2023-11-24","2023020302","20232024","OTT","NYI","1","G",57.78,96.31,5.4,27.74,34.41,3.16,80.54,84.31,90.81,-6.5,-2.24
"Anton Forsberg","2023-12-02","2023020362","20232024","OTT","SEA","1","G",60,100,0,38.2,50.1,2.99,100,100,94.04,5.96,2.99
"Anton Forsberg","2023-12-05","2023020382","20232024","OTT","NYR","1","G",59.68,99.47,2.02,33.61,43.38,3.37,94,95.35,92.22,3.12,1.35
"Anton Forsberg","2023-12-07","2023020395","20232024","OTT","TOR","1","G",58.7,97.83,4.22,23.45,35.19,1.88,82.03,88.02,94.67,-6.65,-2.34
"Anton Forsberg","2023-12-15","2023020458","20232024","OTT","DAL","0","G",58.55,97.58,4.54,22,35.51,2.19,79.35,87.2,93.85,-6.64,-2.36
"Anton Forsberg","2023-12-23","2023020520","20232024","OTT","PIT","1","G",61.08,99.86,4.04,32.98,45.84,3.66,87.74,91.18,92.02,-0.84,-0.39
"Anton Forsberg","2023-12-31","2023020566","20232024","OTT","BUF","1","G",60,100,1.01,43.85,53.16,3.15,97.69,98.1,94.08,4.02,2.13
"Anton Forsberg","2024-01-02","2023020584","20232024","OTT","VAN","0","G",16.97,28.28,3.91,13.64,17.88,1.6,71.35,78.14,91.03,-12.9,-2.31
"Anton Forsberg","2024-01-06","2023020615","20232024","OTT","EDM","0","G",58.03,96.72,2.92,45.58,51.41,5.75,93.6,94.33,88.82,5.51,2.83
"Anton Forsberg","2024-01-11","2023020638","20232024","OTT","BUF","0","G",15.93,26.56,0.94,6.76,8.67,0.68,86.02,89.1,92.2,-3.1,-0.27
"Anton Forsberg","Total","-","23-24","OTT","-","-","G",51.56,85.38,47.39,415.02,555.32,42.4,88.58,91.47,92.36,-0.9,-4.98
