"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Connor Hellebuyck","2023-10-11","2023020007","20232024","WPG","CGY","0","G",58.2,97,3.76,20.93,28.73,1.85,82.05,86.93,93.56,-6.64,-1.91
"Connor Hellebuyck","2023-10-14","2023020020","20232024","WPG","FLA","1","G",59.87,99.78,4,32.51,50.21,3.87,87.68,92.02,92.3,-0.27,-0.14
"Connor Hellebuyck","2023-10-17","2023020045","20232024","WPG","L.A","1","G",59.92,99.86,5.46,31.64,48.47,3.25,82.75,88.74,93.29,-4.55,-2.2
"Connor Hellebuyck","2023-10-21","2023020077","20232024","WPG","EDM","0","G",63.88,100,1.94,40.39,55.56,3.85,95.2,96.51,93.07,3.44,1.91
"Connor Hellebuyck","2023-10-24","2023020093","20232024","WPG","STL","1","G",59.53,99.22,1.98,19.49,29.18,2.71,89.86,93.23,90.7,2.53,0.74
"Connor Hellebuyck","2023-10-26","2023020102","20232024","WPG","DET","0","G",60,100,0.94,32.97,44.72,3.14,97.15,97.9,92.98,4.92,2.2
"Connor Hellebuyck","2023-10-30","2023020135","20232024","WPG","NYR","1","G",64.57,100,3.04,26.66,40.02,3.19,88.61,92.41,92.03,0.38,0.15
"Connor Hellebuyck","2023-11-02","2023020155","20232024","WPG","VGK","0","G",59.38,98.97,3.86,25.84,34.17,2.16,85.06,88.7,93.68,-4.98,-1.7
"Connor Hellebuyck","2023-11-04","2023020160","20232024","WPG","ARI","0","G",60,100,2.87,24.58,31.87,3.02,88.34,91.01,90.54,0.47,0.15
"Connor Hellebuyck","2023-11-07","2023020184","20232024","WPG","STL","0","G",59.53,99.22,1.88,20.15,29.05,2.09,90.69,93.54,92.8,0.74,0.22
"Connor Hellebuyck","2023-11-11","2023020211","20232024","WPG","DAL","1","G",58.62,97.69,3.43,32.58,41.75,3.18,89.48,91.79,92.38,-0.59,-0.25
"Connor Hellebuyck","2023-11-14","2023020236","20232024","WPG","N.J","1","G",59.85,99.75,3.02,33.11,44.38,3.55,90.87,93.19,92.01,1.18,0.52
"Connor Hellebuyck","2023-11-17","2023020252","20232024","WPG","BUF","1","G",60,100,2.02,27.18,42.02,4.31,92.55,95.18,89.75,5.44,2.28
"Connor Hellebuyck","2023-11-22","2023020284","20232024","WPG","T.B","0","G",61.65,100,1.8,30.93,44.06,2.87,94.17,95.91,93.48,2.43,1.07
"Connor Hellebuyck","2023-11-24","2023020304","20232024","WPG","FLA","0","G",59.92,99.86,0,30.37,42.1,2.32,100,100,94.48,5.52,2.32
"Connor Hellebuyck","2023-11-28","2023020332","20232024","WPG","DAL","1","G",58.78,97.97,2.13,22.32,36.42,2.43,90.45,94.15,93.32,0.83,0.3
"Connor Hellebuyck","2023-11-30","2023020349","20232024","WPG","EDM","1","G",58.95,98.25,2.09,38.04,56.9,3.52,94.51,96.33,93.82,2.51,1.43
"Connor Hellebuyck","2023-12-02","2023020357","20232024","WPG","CHI","1","G",59.85,99.75,1.06,20.8,32.66,2.46,94.9,96.75,92.46,4.29,1.4
"Connor Hellebuyck","2023-12-07","2023020402","20232024","WPG","COL","0","G",60,100,1.88,31.03,42.86,2.77,93.95,95.62,93.54,2.08,0.89
"Connor Hellebuyck","2023-12-10","2023020425","20232024","WPG","ANA","0","G",59.43,99.06,1.92,26.16,36.64,2.26,92.66,94.76,93.84,0.92,0.34
"Connor Hellebuyck","2023-12-13","2023020446","20232024","WPG","L.A","0","G",60,100,1.92,33.26,52.41,4.01,94.22,96.33,92.34,3.99,2.09
"Connor Hellebuyck","2023-12-16","2023020467","20232024","WPG","COL","1","G",60,100,2.02,30.53,42.96,3.08,93.39,95.3,92.84,2.47,1.06
"Connor Hellebuyck","2023-12-18","2023020481","20232024","WPG","MTL","1","G",61.15,100,3.34,28.38,39.34,3,88.25,91.52,92.38,-0.86,-0.34
"Connor Hellebuyck","2023-12-22","2023020512","20232024","WPG","BOS","1","G",60,100,1.01,23.89,40.95,3.67,95.76,97.53,91.04,6.49,2.66
"Connor Hellebuyck","2023-12-27","2023020538","20232024","WPG","CHI","0","G",61.8,99.28,1.98,24.28,32.12,1.56,91.85,93.84,95.13,-1.29,-0.42
"Connor Hellebuyck","2023-12-30","2023020555","20232024","WPG","MIN","1","G",59.87,99.78,2.02,34.43,46.04,4.4,94.14,95.62,90.43,5.18,2.39
"Connor Hellebuyck","2024-01-02","2023020580","20232024","WPG","T.B","1","G",59.7,99.5,2.05,34.5,49.86,3.89,94.07,95.9,92.19,3.7,1.85
"Connor Hellebuyck","2024-01-04","2023020601","20232024","WPG","S.J","0","G",59.8,99.67,0.94,26.39,37.55,1.64,96.42,97.48,95.64,1.85,0.69
"Connor Hellebuyck","2024-01-07","2023020619","20232024","WPG","ARI","0","G",59.18,98.64,1.88,15.41,29.75,1.15,87.83,93.69,96.14,-2.44,-0.73
"Connor Hellebuyck","2024-01-09","2023020631","20232024","WPG","CBJ","1","G",60,100,0,27.45,38.82,2.48,100,100,93.62,6.38,2.48
"Connor Hellebuyck","2024-01-13","2023020663","20232024","WPG","PHI","1","G",57.4,95.67,2.24,39.8,56.05,3.27,94.36,96,94.16,1.84,1.03
"Connor Hellebuyck","2024-01-16","2023020685","20232024","WPG","NYI","1","G",59.9,99.83,2.02,37.28,50.38,3.49,94.57,95.98,93.08,2.9,1.46
"Connor Hellebuyck","2024-01-20","2023020709","20232024","WPG","OTT","0","G",64.23,100,0.94,32.99,45.03,3.25,97.16,97.92,92.77,5.14,2.32
"Connor Hellebuyck","2024-01-22","2023020724","20232024","WPG","BOS","0","G",58.98,98.31,2.88,20.46,34.44,2.24,85.9,91.62,93.5,-1.88,-0.65
"Connor Hellebuyck","2024-01-27","2023020768","20232024","WPG","TOR","1","G",59.72,99.53,3.32,30.08,40.04,3.28,88.95,91.7,91.81,-0.11,-0.04
"Connor Hellebuyck","Total","-","23-24","WPG","-","-","G",60.1,99.34,77.63,1006.79,1447.51,103.22,92.29,94.64,92.87,1.77,25.59
