"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Connor Ingram","2023-10-16","2023020037","20232024","ARI","NYR","0","G",58.72,97.86,1.88,27.48,45.46,2.52,93.17,95.87,94.45,1.42,0.65
"Connor Ingram","2023-10-19","2023020057","20232024","ARI","STL","0","G",59.85,99.75,1.88,23.15,31.25,1.66,91.89,94,94.68,-0.68,-0.21
"Connor Ingram","2023-10-24","2023020097","20232024","ARI","L.A","0","G",12.57,20.94,2.8,8.44,11.19,1.16,66.85,74.99,89.66,-14.67,-1.64
"Connor Ingram","2023-10-30","2023020137","20232024","ARI","CHI","1","G",59.8,99.67,1.06,28.91,42.52,1.77,96.33,97.5,95.83,1.67,0.71
"Connor Ingram","2023-11-02","2023020153","20232024","ARI","MTL","1","G",60,100,2.02,30.7,45.01,3.32,93.43,95.52,92.63,2.89,1.3
"Connor Ingram","2023-11-07","2023020185","20232024","ARI","SEA","1","G",65,100,3.15,39.71,58.42,4.48,92.07,94.61,92.33,2.27,1.33
"Connor Ingram","2023-11-11","2023020218","20232024","ARI","NSH","0","G",59.77,99.61,4.81,39.96,56.45,5.48,87.96,91.48,90.29,1.18,0.67
"Connor Ingram","2023-11-16","2023020243","20232024","ARI","CBJ","0","G",60,100,1.98,39.17,57.29,4.33,94.95,96.55,92.44,4.11,2.36
"Connor Ingram","2023-11-20","2023020276","20232024","ARI","L.A","1","G",60,100,4.29,28.88,44.12,3.28,85.15,90.28,92.57,-2.3,-1.01
"Connor Ingram","2023-11-22","2023020287","20232024","ARI","STL","1","G",34.15,56.92,2.07,21.23,31.51,2.61,90.24,93.42,91.73,1.69,0.53
"Connor Ingram","2023-11-25","2023020315","20232024","ARI","VGK","0","G",60,100,0,32.67,45.14,2.75,100,100,93.9,6.1,2.75
"Connor Ingram","2023-11-28","2023020334","20232024","ARI","T.B","1","G",60,100,1.01,29.62,49.85,4.07,96.58,97.97,91.83,6.14,3.06
"Connor Ingram","2023-11-30","2023020350","20232024","ARI","COL","1","G",64.25,99.38,3.16,32.44,45.96,3.02,90.26,93.12,93.42,-0.3,-0.14
"Connor Ingram","2023-12-02","2023020365","20232024","ARI","STL","1","G",60,100,1.01,29.82,50.46,3.09,96.61,97.99,93.88,4.11,2.08
"Connor Ingram","2023-12-04","2023020378","20232024","ARI","WSH","1","G",59.57,99.28,0,24.76,35.89,2.63,100,100,92.68,7.32,2.63
"Connor Ingram","2023-12-07","2023020400","20232024","ARI","PHI","1","G",59.48,99.14,4.39,29.31,44.19,2.87,85.04,90.07,93.5,-3.43,-1.51
"Connor Ingram","2023-12-09","2023020408","20232024","ARI","BOS","0","G",57.68,96.14,4.9,29.41,43.74,4.02,83.33,88.79,90.82,-2.03,-0.89
"Connor Ingram","2023-12-12","2023020434","20232024","ARI","PIT","0","G",58.6,97.67,2.73,42.32,56.19,3.87,93.55,95.14,93.12,2.02,1.13
"Connor Ingram","2023-12-15","2023020459","20232024","ARI","S.J","1","G",60,100,0,21.21,36.47,2.41,100,100,93.4,6.6,2.41
"Connor Ingram","2023-12-19","2023020493","20232024","ARI","OTT","1","G",14.32,23.86,3.32,6.56,8.79,0.4,49.44,62.27,95.5,-33.23,-2.92
"Connor Ingram","2023-12-23","2023020525","20232024","ARI","COL","0","G",60,100,3.91,27.43,32.62,1.77,85.75,88.02,94.58,-6.56,-2.14
"Connor Ingram","2023-12-29","2023020553","20232024","ARI","ANA","0","G",59.48,99.14,0,25.54,37.17,2.27,100,100,93.89,6.11,2.27
"Connor Ingram","2024-01-04","2023020597","20232024","ARI","NYI","1","G",59.78,99.64,5.36,35.12,46.68,4,84.74,88.52,91.43,-2.92,-1.36
"Connor Ingram","2024-01-09","2023020633","20232024","ARI","BOS","1","G",64.07,100,3.14,35.44,47.34,4.19,91.13,93.36,91.16,2.2,1.04
"Connor Ingram","2024-01-11","2023020649","20232024","ARI","CGY","1","G",46.03,76.72,2.25,21.04,30.72,1.75,89.28,92.66,94.29,-1.63,-0.5
"Connor Ingram","2024-01-13","2023020665","20232024","ARI","MIN","0","G",59.65,99.42,0,32.9,46.74,3.39,100,100,92.74,7.26,3.39
"Connor Ingram","2024-01-16","2023020687","20232024","ARI","CGY","0","G",64.72,100,2.8,27.97,39.15,2.63,89.99,92.85,93.28,-0.43,-0.17
"Connor Ingram","2024-01-18","2023020700","20232024","ARI","VAN","0","G",58.85,98.08,1.88,25.49,37.86,2.69,92.63,95.04,92.89,2.15,0.82
"Connor Ingram","2024-01-20","2023020708","20232024","ARI","NSH","1","G",60,100,1.98,31.65,53.72,4.5,93.76,96.32,91.61,4.71,2.53
"Connor Ingram","2024-01-22","2023020727","20232024","ARI","PIT","1","G",60,100,2.02,26.05,32.55,2.89,92.23,93.78,91.12,2.66,0.86
"Connor Ingram","2024-01-25","2023020750","20232024","ARI","T.B","0","G",60,100,5.85,38.57,49.31,3.82,84.84,88.14,92.25,-4.11,-2.03
"Connor Ingram","2024-01-27","2023020763","20232024","ARI","CAR","0","G",60,100,2.7,37.33,59.94,4.18,92.76,95.49,93.02,2.47,1.48
"Connor Ingram","Total","-","23-24","ARI","-","-","G",56.14,92.67,78.35,930.28,1353.69,97.83,91.58,94.21,92.77,1.44,19.48
