"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Dan Vladar","2023-10-19","2023020051","20232024","CGY","BUF","0","G",60,100,2.74,24.91,34.94,1.94,88.99,92.15,94.46,-2.31,-0.81
"Dan Vladar","2023-10-22","2023020080","20232024","CGY","DET","0","G",59.85,99.75,5.88,31.95,42.47,2.77,81.58,86.14,93.49,-7.34,-3.12
"Dan Vladar","2023-11-04","2023020170","20232024","CGY","SEA","0","G",60,100,2.91,19.41,31.23,1.96,85,90.68,93.73,-3.05,-0.95
"Dan Vladar","2023-11-10","2023020207","20232024","CGY","TOR","0","G",65,100,3.86,36.39,62.44,4.35,89.39,93.82,93.03,0.79,0.49
"Dan Vladar","2023-11-20","2023020277","20232024","CGY","SEA","0","G",63.47,100,2.82,29.64,44.83,2.46,90.48,93.71,94.52,-0.82,-0.37
"Dan Vladar","2023-11-25","2023020313","20232024","CGY","COL","0","G",57.98,96.64,2.91,24.86,42.63,2.74,88.3,93.18,93.58,-0.4,-0.17
"Dan Vladar","2023-11-27","2023020325","20232024","CGY","VGK","1","G",64.52,99.38,1.08,30.43,44.89,3.36,96.46,97.6,92.53,5.08,2.28
"Dan Vladar","2023-12-05","2023020385","20232024","CGY","MIN","1","G",21.5,35.83,3.2,17.85,23.46,1.74,82.06,86.35,92.57,-6.22,-1.46
"Dan Vladar","2023-12-11","2023020431","20232024","CGY","COL","0","G",58.35,97.25,5.63,34.64,47.52,3.07,83.75,88.15,93.54,-5.39,-2.56
"Dan Vladar","2023-12-14","2023020450","20232024","CGY","MIN","0","G",65,100,1.88,31.65,47.6,3.15,94.05,96.04,93.39,2.66,1.27
"Dan Vladar","2023-12-16","2023020471","20232024","CGY","T.B","1","G",60,100,2.02,31.99,42.51,2.4,93.69,95.25,94.36,0.89,0.38
"Dan Vladar","2024-01-04","2023020595","20232024","CGY","NSH","0","G",60,100,2.81,28.58,42.5,2.39,90.15,93.38,94.37,-0.99,-0.42
"Dan Vladar","2024-01-07","2023020617","20232024","CGY","CHI","0","G",57.75,96.25,3.82,19.32,25.93,1.77,80.22,85.26,93.17,-7.91,-2.05
"Dan Vladar","2024-01-16","2023020687","20232024","CGY","ARI","1","G",64.72,100,2.13,26.8,47.33,3.81,92.04,95.5,91.95,3.54,1.68
"Dan Vladar","2024-01-18","2023020697","20232024","CGY","TOR","1","G",58.45,97.42,4.14,35.53,50.4,3.42,88.34,91.78,93.21,-1.43,-0.72
"Dan Vladar","2024-01-20","2023020714","20232024","CGY","EDM","1","G",58.75,97.92,2.12,32.94,45.66,3.64,93.56,95.35,92.02,3.33,1.52
"Dan Vladar","Total","-","23-24","CGY","-","-","G",58.46,95.14,49.97,456.9,676.36,44.96,89.06,92.61,93.35,-0.74,-5.01
