"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Filip Gustavsson","2023-10-12","2023020014","20232024","MIN","FLA","1","G",60,100,0,40.08,51.67,3.27,100,100,93.68,6.32,3.27
"Filip Gustavsson","2023-10-14","2023020026","20232024","MIN","TOR","0","G",60,100,6.81,34.06,44.44,3.88,80.02,84.68,91.26,-6.58,-2.92
"Filip Gustavsson","2023-10-21","2023020073","20232024","MIN","CBJ","1","G",63.03,99.87,5.19,56.84,72.15,5.51,90.87,92.81,92.37,0.44,0.32
"Filip Gustavsson","2023-10-24","2023020094","20232024","MIN","EDM","1","G",60,100,4.19,29.86,43.89,2.89,85.97,90.46,93.42,-2.96,-1.3
"Filip Gustavsson","2023-10-26","2023020104","20232024","MIN","PHI","0","G",59.92,99.86,5.9,36.26,44.83,3.19,83.74,86.84,92.87,-6.03,-2.7
"Filip Gustavsson","2023-11-02","2023020151","20232024","MIN","N.J","1","G",58.52,97.53,5.73,43.67,60.11,4.59,86.87,90.46,92.36,-1.9,-1.14
"Filip Gustavsson","2023-11-04","2023020169","20232024","MIN","NYR","1","G",6.88,10.59,3.2,4.37,6.56,0.39,26.77,51.14,94.05,-42.91,-2.81
"Filip Gustavsson","2023-11-10","2023020204","20232024","MIN","BUF","0","G",58.25,97.08,2.88,24.89,36.77,2.15,88.44,92.17,94.16,-1.98,-0.73
"Filip Gustavsson","2023-11-18","2023020254","20232024","MIN","OTT","0","G",64.68,99.51,0.94,29.3,39.54,1.8,96.8,97.63,95.44,2.19,0.87
"Filip Gustavsson","2023-11-24","2023020306","20232024","MIN","COL","1","G",59.12,98.53,3.31,27.43,51.98,3.4,87.95,93.64,93.46,0.18,0.1
"Filip Gustavsson","2023-11-26","2023020316","20232024","MIN","DET","0","G",58.5,97.5,2.86,22.58,30.65,2.16,87.35,90.68,92.95,-2.27,-0.7
"Filip Gustavsson","2023-11-28","2023020330","20232024","MIN","STL","1","G",59.77,99.61,1.01,23.66,39.52,2.96,95.72,97.44,92.52,4.92,1.94
"Filip Gustavsson","2023-11-30","2023020347","20232024","MIN","NSH","0","G",59.97,99.94,0.94,23.52,30.32,2.04,96.01,96.91,93.28,3.63,1.1
"Filip Gustavsson","2023-12-05","2023020385","20232024","MIN","CGY","0","G",60,100,1.88,26.2,37.32,2.46,92.84,94.97,93.42,1.55,0.58
"Filip Gustavsson","2023-12-07","2023020404","20232024","MIN","VAN","0","G",57.45,95.75,1.93,17.43,35.07,2.41,88.91,94.49,93.12,1.37,0.48
"Filip Gustavsson","2023-12-10","2023020426","20232024","MIN","SEA","0","G",60,100,0,21.68,37.54,2.55,100,100,93.22,6.78,2.55
"Filip Gustavsson","2023-12-14","2023020450","20232024","MIN","CGY","1","G",65,100,2.08,37.09,48.08,3.89,94.38,95.67,91.91,3.76,1.81
"Filip Gustavsson","2023-12-16","2023020461","20232024","MIN","VAN","1","G",65,100,1.01,36.95,48.52,3.37,97.26,97.91,93.06,4.85,2.35
"Filip Gustavsson","2023-12-18","2023020480","20232024","MIN","PIT","0","G",58.3,97.17,3.86,30.69,47.71,4.34,87.42,91.91,90.91,1,0.48
"Filip Gustavsson","2023-12-21","2023020506","20232024","MIN","MTL","1","G",64.62,99.54,3.03,24.21,39.23,1.92,87.48,92.28,95.1,-2.83,-1.11
"Filip Gustavsson","2023-12-27","2023020534","20232024","MIN","DET","1","G",59.88,99.81,3.03,27.28,43.15,2.43,88.89,92.98,94.37,-1.4,-0.6
"Filip Gustavsson","2023-12-30","2023020555","20232024","MIN","WPG","0","G",40,66.67,2.92,23.02,35.32,2.96,87.31,91.73,91.62,0.11,0.04
"Filip Gustavsson","2024-01-13","2023020665","20232024","MIN","ARI","1","G",26.67,44.44,5.47,20.45,27.21,1.76,73.24,79.89,93.54,-13.65,-3.71
"Filip Gustavsson","2024-01-18","2023020695","20232024","MIN","T.B","0","G",60,100,6.82,39.02,54.24,3.8,82.51,87.42,92.99,-5.57,-3.02
"Filip Gustavsson","2024-01-19","2023020704","20232024","MIN","FLA","0","G",29.47,49.11,2.81,21.76,35.14,2.51,87.07,91.99,92.84,-0.85,-0.3
"Filip Gustavsson","2024-01-21","2023020719","20232024","MIN","CAR","0","G",60,100,1.88,39.63,60.97,3.83,95.25,96.91,93.73,3.19,1.94
"Filip Gustavsson","2024-01-23","2023020734","20232024","MIN","WSH","1","G",60,100,3.03,30.88,42.21,2.71,90.19,92.82,93.59,-0.77,-0.32
"Filip Gustavsson","2024-01-25","2023020752","20232024","MIN","NSH","1","G",58.82,98.03,3.14,29.5,42.38,2.28,89.34,92.58,94.62,-2.03,-0.86
"Filip Gustavsson","2024-01-27","2023020770","20232024","MIN","ANA","1","G",58.02,96.69,3.08,25.04,33.41,2.57,87.68,90.76,92.3,-1.53,-0.51
"Filip Gustavsson","Total","-","23-24","MIN","-","-","G",55.58,91.17,88.94,847.36,1219.91,84,89.5,92.71,93.11,-0.4,-4.94
