"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Ilya Samsonov","2023-10-11","2023020005","20232024","TOR","MTL","1","G",62.1,95.54,5.27,26.14,38.57,2.71,79.84,86.34,92.97,-6.63,-2.56
"Ilya Samsonov","2023-10-14","2023020026","20232024","TOR","MIN","1","G",60,100,4.1,31.23,45.01,3.62,86.88,90.9,91.95,-1.05,-0.47
"Ilya Samsonov","2023-10-19","2023020052","20232024","TOR","FLA","0","G",57.83,96.39,1.93,23.27,37.49,2.53,91.69,94.84,93.25,1.59,0.6
"Ilya Samsonov","2023-10-21","2023020070","20232024","TOR","T.B","0","G",13.48,21.04,2.81,3.83,4.79,0.36,26.84,41.39,92.43,-51.04,-2.44
"Ilya Samsonov","2023-10-28","2023020122","20232024","TOR","NSH","0","G",62.08,99.79,2.77,22.81,40.1,2.51,87.88,93.1,93.75,-0.64,-0.26
"Ilya Samsonov","2023-11-02","2023020145","20232024","TOR","BOS","0","G",64.9,99.85,1.93,39.67,55.27,5.19,95.13,96.5,90.61,5.89,3.26
"Ilya Samsonov","2023-11-06","2023020177","20232024","TOR","T.B","1","G",15.22,25.04,4.44,13.21,14.39,0.7,66.39,69.15,95.12,-25.98,-3.74
"Ilya Samsonov","2023-11-11","2023020215","20232024","TOR","VAN","1","G",60,100,2.15,33.66,49.24,3.97,93.6,95.63,91.94,3.69,1.82
"Ilya Samsonov","2023-11-17","2023020251","20232024","TOR","DET","0","G",59.93,99.89,2.02,28.75,40.35,2.17,92.97,94.99,94.62,0.37,0.15
"Ilya Samsonov","2023-11-24","2023020295","20232024","TOR","CHI","0","G",64.5,100,3.85,32.35,43.5,2.29,88.11,91.16,94.74,-3.58,-1.56
"Ilya Samsonov","2023-12-09","2023020413","20232024","TOR","NSH","1","G",60,100,0,18.13,29.1,1.85,100,100,93.66,6.34,1.85
"Ilya Samsonov","2023-12-11","2023020429","20232024","TOR","NYI","0","G",58.85,96.85,3.9,29.19,48.72,3.29,86.62,91.99,93.24,-1.25,-0.61
"Ilya Samsonov","2023-12-14","2023020449","20232024","TOR","CBJ","1","G",61.73,97.32,6.44,40.19,53.97,4.97,83.98,88.07,90.79,-2.71,-1.46
"Ilya Samsonov","2023-12-21","2023020498","20232024","TOR","BUF","0","G",28.2,47,4.75,19,22.97,1.43,75,79.31,93.76,-14.45,-3.32
"Ilya Samsonov","2023-12-29","2023020546","20232024","TOR","CBJ","0","G",62.58,99.44,5.55,19.25,32.92,1.81,71.14,83.13,94.5,-11.37,-3.74
"Ilya Samsonov","2024-01-14","2023020670","20232024","TOR","DET","1","G",59.22,98.69,3.08,23.35,36.5,2.1,86.79,91.55,94.24,-2.69,-0.98
"Ilya Samsonov","2024-01-21","2023020723","20232024","TOR","SEA","0","G",59.87,99.78,0.94,15.59,27.27,1.64,93.98,96.56,93.99,2.57,0.7
"Ilya Samsonov","2024-01-24","2023020740","20232024","TOR","WPG","1","G",64.22,100,0,33.19,49.9,3.21,100,100,93.56,6.44,3.21
"Ilya Samsonov","2024-01-27","2023020768","20232024","TOR","WPG","0","G",60,100,1.88,25.01,44.89,2.87,92.47,95.81,93.6,2.21,0.99
"Ilya Samsonov","Total","-","23-24","TOR","-","-","G",54.46,88.22,57.82,477.82,714.94,49.24,87.9,91.91,93.11,-1.2,-8.58
