"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jacob Markstrom","2023-10-11","2023020007","20232024","CGY","WPG","1","G",59.73,99.56,3.04,37.17,57.12,5.94,91.83,94.69,89.61,5.08,2.9
"Jacob Markstrom","2023-10-14","2023020025","20232024","CGY","PIT","0","G",57.82,96.36,3.86,27.62,39.28,3.54,86.03,90.18,90.98,-0.8,-0.32
"Jacob Markstrom","2023-10-16","2023020039","20232024","CGY","WSH","0","G",64.8,99.69,1.88,21.57,36.17,3.65,91.3,94.81,89.91,4.9,1.77
"Jacob Markstrom","2023-10-20","2023020063","20232024","CGY","CBJ","0","G",57.87,96.44,1.93,27.97,46.33,2.77,93.09,95.83,94.02,1.81,0.84
"Jacob Markstrom","2023-10-24","2023020096","20232024","CGY","NYR","1","G",59.28,98.81,3.16,21.27,29.45,2.7,85.12,89.25,90.83,-1.58,-0.46
"Jacob Markstrom","2023-10-26","2023020109","20232024","CGY","STL","1","G",59.42,99.03,2.15,38.73,48.03,4.09,94.45,95.53,91.49,4.04,1.94
"Jacob Markstrom","2023-10-29","2023020129","20232024","CGY","EDM","0","G",58.05,96.75,3.91,34.41,47.05,4.38,88.64,91.69,90.69,1,0.47
"Jacob Markstrom","2023-11-01","2023020142","20232024","CGY","DAL","1","G",58.85,98.08,4.15,31.03,47.37,4.05,86.62,91.24,91.45,-0.21,-0.1
"Jacob Markstrom","2023-11-07","2023020186","20232024","CGY","NSH","1","G",59.7,99.5,2.13,20.11,29.14,2.31,89.4,92.68,92.07,0.61,0.18
"Jacob Markstrom","2023-11-14","2023020231","20232024","CGY","MTL","0","G",60,100,0.94,32.61,48.97,3.93,97.12,98.08,91.98,6.11,2.99
"Jacob Markstrom","2023-11-16","2023020247","20232024","CGY","VAN","1","G",58.68,97.81,2.09,22.08,35.94,2.06,90.54,94.19,94.26,-0.07,-0.03
"Jacob Markstrom","2023-11-18","2023020260","20232024","CGY","NYI","1","G",65,100,4.23,35.24,47.82,4.47,87.99,91.15,90.66,0.49,0.23
"Jacob Markstrom","2023-11-22","2023020288","20232024","CGY","NSH","0","G",59.82,99.69,3.86,45.83,60.09,4.17,91.58,93.58,93.05,0.52,0.31
"Jacob Markstrom","2023-11-24","2023020305","20232024","CGY","DAL","0","G",60,100,3.83,27.55,39.46,3.18,86.1,90.3,91.95,-1.65,-0.65
"Jacob Markstrom","2023-11-30","2023020351","20232024","CGY","DAL","1","G",61.02,100,3.04,16.41,28.79,2.45,81.46,89.43,91.51,-2.07,-0.6
"Jacob Markstrom","2023-12-02","2023020367","20232024","CGY","VAN","1","G",57.55,95.92,3.2,23.64,40.46,4.18,86.45,92.08,89.67,2.42,0.98
"Jacob Markstrom","2023-12-18","2023020483","20232024","CGY","FLA","1","G",60,100,1.01,33.9,49.89,4.23,97.03,97.98,91.52,6.46,3.22
"Jacob Markstrom","2023-12-21","2023020508","20232024","CGY","ANA","0","G",60,100,0,22.57,28.57,1.55,100,100,94.56,5.44,1.55
"Jacob Markstrom","2023-12-23","2023020526","20232024","CGY","L.A","0","G",58.93,98.22,3.82,33.62,49.93,4.3,88.63,92.34,91.4,0.95,0.47
"Jacob Markstrom","2023-12-27","2023020539","20232024","CGY","SEA","1","G",57.9,96.5,2.12,22.22,31.87,2.46,90.45,93.34,92.27,1.07,0.34
"Jacob Markstrom","2023-12-31","2023020570","20232024","CGY","PHI","1","G",60,100,3,32.72,44.43,3.84,90.83,93.25,91.35,1.9,0.84
"Jacob Markstrom","2024-01-02","2023020578","20232024","CGY","MIN","0","G",59.43,99.06,0.94,26.35,38.12,3.2,96.44,97.54,91.61,5.93,2.26
"Jacob Markstrom","2024-01-06","2023020605","20232024","CGY","PHI","0","G",57.7,96.17,2.74,39.67,56.74,4.53,93.1,95.18,92.02,3.16,1.79
"Jacob Markstrom","2024-01-09","2023020634","20232024","CGY","OTT","1","G",60,100,3.2,33.42,42.62,3.98,90.43,92.5,90.66,1.83,0.78
"Jacob Markstrom","2024-01-11","2023020649","20232024","CGY","ARI","0","G",60,100,1.88,29.77,40.99,2.89,93.7,95.42,92.94,2.48,1.02
"Jacob Markstrom","2024-01-13","2023020668","20232024","CGY","VGK","0","G",60,100,0.94,29.1,49.31,3.24,96.78,98.1,93.43,4.67,2.3
"Jacob Markstrom","2024-01-23","2023020735","20232024","CGY","STL","1","G",59.38,98.97,4.09,26.21,35.21,3.79,84.39,88.38,89.23,-0.85,-0.3
"Jacob Markstrom","2024-01-25","2023020753","20232024","CGY","CBJ","1","G",59.28,98.81,4.38,34.8,45.12,3.52,87.41,90.29,92.2,-1.91,-0.86
"Jacob Markstrom","2024-01-27","2023020771","20232024","CGY","CHI","1","G",60,100,0,32.27,46.73,3.54,100,100,92.42,7.58,3.54
"Jacob Markstrom","Total","-","23-24","CGY","-","-","G",59.66,98.81,75.51,859.84,1241,102.95,91.22,93.92,91.7,2.21,27.44
