"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jeremy Swayman","2023-10-14","2023020021","20232024","BOS","NSH","1","G",59.02,98.36,2.03,37.98,56.75,4.27,94.65,96.42,92.48,3.95,2.24
"Jeremy Swayman","2023-10-21","2023020079","20232024","BOS","L.A","0","G",60,100,1.8,31.27,49.33,4.13,94.23,96.34,91.62,4.72,2.33
"Jeremy Swayman","2023-10-24","2023020092","20232024","BOS","CHI","0","G",59.82,99.69,0,21.32,29.23,1.91,100,100,93.46,6.54,1.91
"Jeremy Swayman","2023-10-28","2023020119","20232024","BOS","DET","1","G",60,100,1.01,22.04,33.44,2.12,95.41,96.97,93.67,3.3,1.1
"Jeremy Swayman","2023-11-02","2023020145","20232024","BOS","TOR","1","G",65,100,2.02,35.71,54.13,2.71,94.33,96.26,95,1.27,0.68
"Jeremy Swayman","2023-11-06","2023020178","20232024","BOS","DAL","0","G",59.52,99.19,1.97,33.63,51.41,3.49,94.14,96.17,93.22,2.95,1.51
"Jeremy Swayman","2023-11-11","2023020212","20232024","BOS","MTL","0","G",62.22,100,2.84,24.99,36.85,3.11,88.62,92.28,91.55,0.73,0.27
"Jeremy Swayman","2023-11-18","2023020258","20232024","BOS","MTL","1","G",60,100,2.02,21.06,23.06,1.95,90.39,91.22,91.55,-0.33,-0.08
"Jeremy Swayman","2023-11-20","2023020273","20232024","BOS","T.B","0","G",61.17,99.76,4.88,44.71,52.48,3.19,89.08,90.7,93.93,-3.23,-1.7
"Jeremy Swayman","2023-11-24","2023020293","20232024","BOS","DET","1","G",57.27,95.44,4.4,32.1,43.62,3.77,86.29,89.91,91.36,-1.45,-0.63
"Jeremy Swayman","2023-11-27","2023020321","20232024","BOS","CBJ","0","G",26.23,43.72,1.93,19,24.82,1.06,89.83,92.21,95.72,-3.5,-0.87
"Jeremy Swayman","2023-11-30","2023020340","20232024","BOS","S.J","1","G",59.57,99.28,0,25.29,35.19,2.08,100,100,94.08,5.92,2.08
"Jeremy Swayman","2023-12-03","2023020371","20232024","BOS","CBJ","1","G",60,100,1.06,25.33,41.49,2.48,95.81,97.44,94.01,3.43,1.42
"Jeremy Swayman","2023-12-13","2023020443","20232024","BOS","N.J","0","G",62.78,100,1.97,32.95,48.67,4.51,94.02,95.95,90.73,5.22,2.54
"Jeremy Swayman","2023-12-16","2023020462","20232024","BOS","NYR","1","G",62.05,100,1.98,33.93,50.81,3.53,94.18,96.11,93.04,3.07,1.56
"Jeremy Swayman","2023-12-22","2023020512","20232024","BOS","WPG","0","G",60,100,4.91,34.27,48.79,3.35,85.68,89.94,93.14,-3.21,-1.56
"Jeremy Swayman","2023-12-27","2023020532","20232024","BOS","BUF","0","G",60,100,0.94,22.9,39.45,2.19,95.9,97.62,94.46,3.17,1.25
"Jeremy Swayman","2023-12-31","2023020565","20232024","BOS","DET","0","G",60,100,2.91,27.75,37.66,3.51,89.52,92.27,90.67,1.61,0.61
"Jeremy Swayman","2024-01-04","2023020589","20232024","BOS","PIT","1","G",57.32,95.53,6.35,38.28,49.9,4.06,83.4,87.27,91.86,-4.59,-2.29
"Jeremy Swayman","2024-01-08","2023020624","20232024","BOS","COL","0","G",65,100,2.76,35.14,49.98,3.34,92.16,94.49,93.31,1.18,0.59
"Jeremy Swayman","2024-01-09","2023020633","20232024","BOS","ARI","0","G",1.4,2.19,1.03,0.99,1,0.08,-4.24,-3.2,92.34,-95.54,-0.96
"Jeremy Swayman","2024-01-11","2023020650","20232024","BOS","VGK","0","G",60.77,100,1.97,23.92,31.58,2.78,91.78,93.78,91.19,2.58,0.82
"Jeremy Swayman","2024-01-13","2023020667","20232024","BOS","STL","0","G",61.1,99.89,2.67,21.33,27.74,1.83,87.48,90.37,93.42,-3.04,-0.84
"Jeremy Swayman","2024-01-15","2023020671","20232024","BOS","N.J","1","G",59.88,99.81,0,30.32,42.88,2.06,100,100,95.19,4.81,2.06
"Jeremy Swayman","2024-01-18","2023020692","20232024","BOS","COL","1","G",59.97,99.94,2.02,30.45,46.63,2.99,93.35,95.66,93.58,2.08,0.97
"Jeremy Swayman","2024-01-22","2023020724","20232024","BOS","WPG","1","G",59.93,99.89,1.01,20.43,34.18,1.59,95.05,97.04,95.36,1.68,0.58
"Jeremy Swayman","2024-01-25","2023020749","20232024","BOS","OTT","0","G",61.68,99.81,1.73,33.97,42.96,1.87,94.9,95.97,95.64,0.32,0.14
"Jeremy Swayman","Total","-","23-24","BOS","-","-","G",57.1,93.65,58.24,761.04,1084.01,73.97,92.35,94.63,93.18,1.45,15.73
