"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Joey Daccord","2023-10-14","2023020028","20232024","SEA","STL","0","G",65,100,0.94,23.95,40.88,2.09,96.08,97.71,94.88,2.83,1.16
"Joey Daccord","2023-10-19","2023020060","20232024","SEA","CAR","1","G",59.78,99.64,4,35,48.47,3.34,88.56,91.74,93.11,-1.38,-0.67
"Joey Daccord","2023-10-24","2023020091","20232024","SEA","DET","0","G",64.6,99.51,3.61,25.73,40.05,3.14,85.97,90.99,92.16,-1.17,-0.47
"Joey Daccord","2023-10-26","2023020101","20232024","SEA","CAR","0","G",64.83,100,2.91,41.5,59.44,3.18,92.99,95.11,94.66,0.45,0.27
"Joey Daccord","2023-10-28","2023020118","20232024","SEA","FLA","0","G",58.33,97.22,2.75,36.21,51.14,2.32,92.41,94.62,95.47,-0.85,-0.43
"Joey Daccord","2023-11-07","2023020185","20232024","SEA","ARI","0","G",65,100,2.74,25.74,41.95,2.7,89.37,93.48,93.57,-0.1,-0.04
"Joey Daccord","2023-11-11","2023020220","20232024","SEA","EDM","1","G",40,66.67,0,10.6,18.91,0.99,100,100,94.74,5.26,0.99
"Joey Daccord","2023-11-13","2023020228","20232024","SEA","COL","1","G",60,100,5.66,33.53,53.27,3.79,83.12,89.38,92.89,-3.51,-1.87
"Joey Daccord","2023-11-15","2023020239","20232024","SEA","EDM","0","G",62.3,98.97,3.95,29.28,42.55,3.91,86.51,90.72,90.8,-0.08,-0.03
"Joey Daccord","2023-11-20","2023020277","20232024","SEA","CGY","1","G",43.47,68.49,1.98,24.23,31.36,2.15,91.82,93.68,93.14,0.55,0.17
"Joey Daccord","2023-11-22","2023020292","20232024","SEA","S.J","1","G",60,100,1.01,13.17,17.82,0.65,92.32,94.32,96.33,-2.01,-0.36
"Joey Daccord","2023-11-24","2023020307","20232024","SEA","VAN","1","G",60,100,5.36,30.39,51.39,4.24,82.36,89.57,91.75,-2.19,-1.12
"Joey Daccord","2023-12-02","2023020362","20232024","SEA","OTT","0","G",57.28,95.47,1.93,28.61,37.5,2.75,93.24,94.85,92.66,2.19,0.82
"Joey Daccord","2023-12-09","2023020418","20232024","SEA","T.B","1","G",23.2,36.71,1.98,7.06,10.1,0.56,71.93,80.39,94.47,-14.08,-1.42
"Joey Daccord","2023-12-10","2023020426","20232024","SEA","MIN","1","G",57.42,95.69,2.13,27.92,38.3,2.61,92.36,94.43,93.17,1.26,0.48
"Joey Daccord","2023-12-12","2023020438","20232024","SEA","FLA","1","G",60,100,0,23.76,42.53,2.26,100,100,94.68,5.32,2.26
"Joey Daccord","2023-12-14","2023020453","20232024","SEA","CHI","1","G",60,100,1.01,20.7,28.48,1.45,95.11,96.45,94.89,1.55,0.44
"Joey Daccord","2023-12-16","2023020473","20232024","SEA","L.A","1","G",65,100,2.09,39.8,62.2,3.64,94.75,96.64,94.15,2.5,1.55
"Joey Daccord","2023-12-18","2023020482","20232024","SEA","DAL","0","G",61.5,98.77,4,29.29,38.66,2.19,86.35,89.66,94.34,-4.68,-1.81
"Joey Daccord","2023-12-20","2023020497","20232024","SEA","L.A","0","G",59.83,99.72,0.87,40.56,56.29,2.77,97.87,98.46,95.08,3.38,1.9
"Joey Daccord","2023-12-23","2023020523","20232024","SEA","ANA","0","G",60,100,1.8,31.15,42.62,3.53,94.21,95.77,91.72,4.04,1.72
"Joey Daccord","2023-12-29","2023020554","20232024","SEA","PHI","1","G",62.22,99.41,1.08,29.69,49.67,3.29,96.37,97.83,93.37,4.46,2.22
"Joey Daccord","2024-01-01","2023020573","20232024","SEA","VGK","1","G",60,100,0,33.49,46.84,2.32,100,100,95.06,4.94,2.32
"Joey Daccord","2024-01-04","2023020598","20232024","SEA","OTT","1","G",60,100,1.01,32.6,61.41,3.72,96.9,98.35,93.94,4.41,2.71
"Joey Daccord","2024-01-09","2023020625","20232024","SEA","BUF","0","G",59.83,99.72,1.88,35.59,48.23,2.94,94.71,96.1,93.91,2.18,1.05
"Joey Daccord","2024-01-11","2023020645","20232024","SEA","WSH","0","G",60,100,0.94,23.68,43.87,3.56,96.04,97.86,91.89,5.97,2.62
"Joey Daccord","2024-01-13","2023020658","20232024","SEA","CBJ","0","G",60,100,3.76,32.16,41.56,2.92,88.32,90.97,92.98,-2.01,-0.84
"Joey Daccord","2024-01-15","2023020677","20232024","SEA","PIT","0","G",59.75,99.58,1.93,32.91,46.16,2.51,94.13,95.81,94.56,1.25,0.58
"Joey Daccord","2024-01-18","2023020698","20232024","SEA","EDM","0","G",59.45,99.08,3.74,35.34,42.86,3.42,89.41,91.27,92.02,-0.75,-0.32
"Joey Daccord","2024-01-21","2023020723","20232024","SEA","TOR","1","G",59.67,99.44,2.13,27.91,51.73,2.5,92.36,95.88,95.16,0.72,0.37
"Joey Daccord","2024-01-24","2023020743","20232024","SEA","CHI","1","G",60,100,2.02,32.09,49.17,4.37,93.71,95.9,91.11,4.78,2.35
"Joey Daccord","2024-01-26","2023020758","20232024","SEA","STL","1","G",63.05,99.27,4.06,18.34,33.75,2.07,77.84,87.96,93.87,-5.91,-2
"Joey Daccord","2024-01-28","2023020774","20232024","SEA","CBJ","1","G",60,100,2.02,30.43,42.85,1.52,93.35,95.28,96.46,-1.18,-0.51
"Joey Daccord","Total","-","23-24","SEA","-","-","G",58.53,95.49,75.31,942.4,1412.03,89.41,92.01,94.67,93.67,1,14.1
