"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"John Gibson","2023-10-14","2023020031","20232024","ANA","VGK","0","G",59.85,99.75,2.92,37.9,50.38,3.39,92.31,94.21,93.27,0.95,0.48
"John Gibson","2023-10-19","2023020059","20232024","ANA","DAL","1","G",57.78,96.31,3.14,24.27,40.8,2.99,87.05,92.29,92.68,-0.38,-0.16
"John Gibson","2023-10-22","2023020081","20232024","ANA","BOS","1","G",58.58,97.64,2.07,26.68,43.66,2.87,92.23,95.25,93.42,1.83,0.8
"John Gibson","2023-10-26","2023020100","20232024","ANA","BOS","0","G",58.93,94.85,2.78,30.28,43.58,2.66,90.81,93.61,93.9,-0.29,-0.12
"John Gibson","2023-10-30","2023020132","20232024","ANA","PIT","0","G",20,33.33,0.93,6.59,14.3,1.15,85.85,93.47,91.95,1.53,0.22
"John Gibson","2023-11-05","2023020175","20232024","ANA","VGK","1","G",60,100,2.14,35.1,50.82,4.14,93.89,95.78,91.85,3.93,2
"John Gibson","2023-11-07","2023020187","20232024","ANA","PIT","1","G",58.82,98.03,1.06,38.9,48.9,3.34,97.27,97.83,93.18,4.65,2.27
"John Gibson","2023-11-12","2023020226","20232024","ANA","S.J","1","G",59.83,99.72,1.01,24.95,36.26,2.48,95.94,97.21,93.15,4.06,1.47
"John Gibson","2023-11-14","2023020234","20232024","ANA","NSH","0","G",59.63,99.39,1.94,30.58,44.96,3.16,93.66,95.69,92.97,2.72,1.22
"John Gibson","2023-11-17","2023020253","20232024","ANA","FLA","1","G",57.85,96.42,2.13,39.27,52.31,5.04,94.57,95.92,90.38,5.55,2.9
"John Gibson","2023-11-19","2023020271","20232024","ANA","STL","1","G",57.55,95.92,3.32,35.14,48.96,3.9,90.57,93.23,92.04,1.19,0.58
"John Gibson","2023-11-22","2023020290","20232024","ANA","MTL","1","G",58.42,97.36,4.28,30.84,42.36,3.33,86.11,89.88,92.13,-2.25,-0.95
"John Gibson","2023-11-24","2023020299","20232024","ANA","L.A","1","G",59.52,99.19,5.48,35.78,54.43,3.8,84.67,89.92,93.01,-3.09,-1.68
"John Gibson","2023-11-26","2023020320","20232024","ANA","EDM","0","G",32.67,54.44,1.99,10.64,15.9,1.59,81.31,87.49,89.99,-2.5,-0.4
"John Gibson","2023-11-28","2023020336","20232024","ANA","VAN","0","G",59.6,99.33,1.89,26.53,43.61,3.68,92.88,95.67,91.57,4.1,1.79
"John Gibson","2023-11-30","2023020352","20232024","ANA","WSH","1","G",58.35,97.25,5.4,28.82,34.4,4.03,81.25,84.29,88.3,-4.01,-1.38
"John Gibson","2023-12-02","2023020366","20232024","ANA","COL","1","G",64.68,99.51,3.2,40.11,55.66,4.1,92.01,94.25,92.64,1.61,0.89
"John Gibson","2023-12-05","2023020386","20232024","ANA","COL","0","G",59.07,98.44,2.92,31.49,45.09,3.75,90.72,93.52,91.68,1.84,0.83
"John Gibson","2023-12-10","2023020425","20232024","ANA","WPG","1","G",59.58,99.31,3.08,30.89,45.2,3,90.01,93.18,93.36,-0.18,-0.08
"John Gibson","2023-12-13","2023020444","20232024","ANA","NYI","0","G",58.77,97.94,3.73,33.17,49.58,3.32,88.75,92.47,93.31,-0.83,-0.41
"John Gibson","2023-12-17","2023020476","20232024","ANA","N.J","0","G",40,66.67,0.94,17.99,29.1,2.33,94.79,96.78,92.01,4.77,1.39
"John Gibson","2023-12-27","2023020540","20232024","ANA","VGK","1","G",60,100,2.02,30.39,47.19,4.37,93.36,95.72,90.74,4.98,2.35
"John Gibson","2023-12-29","2023020553","20232024","ANA","ARI","1","G",56.83,94.72,2.15,36.08,56.7,4.68,94.05,96.21,91.74,4.47,2.54
"John Gibson","2023-12-31","2023020569","20232024","ANA","EDM","1","G",60,100,7.48,44.6,57.97,4.83,83.24,87.1,91.67,-4.57,-2.65
"John Gibson","2024-01-05","2023020604","20232024","ANA","WPG","1","G",56.57,94.28,3.26,27.94,41.63,2.57,88.35,92.18,93.84,-1.66,-0.69
"John Gibson","2024-01-11","2023020639","20232024","ANA","CAR","0","G",40,66.67,4.86,25.04,31.06,2.59,80.59,84.35,91.68,-7.32,-2.27
"John Gibson","2024-01-15","2023020674","20232024","ANA","FLA","0","G",60.8,100,3.85,32.88,56.71,3.81,88.3,93.22,93.29,-0.07,-0.04
"John Gibson","2024-01-16","2023020683","20232024","ANA","WSH","0","G",57.35,95.58,0.93,27.43,36.52,2.58,96.61,97.46,92.93,4.53,1.65
"John Gibson","2024-01-20","2023020715","20232024","ANA","S.J","0","G",57.95,96.58,3.87,18.29,33.11,2.3,78.87,88.32,93.05,-4.73,-1.56
"John Gibson","2024-01-23","2023020737","20232024","ANA","BUF","1","G",59.97,99.94,1.94,28.59,45.72,4.25,93.22,95.76,90.7,5.07,2.32
"John Gibson","2024-01-25","2023020751","20232024","ANA","DAL","0","G",60.63,100,3.85,41.35,53.89,3.68,90.68,92.85,93.18,-0.33,-0.18
"John Gibson","Total","-","23-24","ANA","-","-","G",55.79,92.56,90.57,928.5,1350.74,103.7,90.25,93.29,92.32,0.97,13.13
