"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Jordan Binnington","2023-10-12","2023020013","20232024","STL","DAL","0","G",64.83,99.74,0.94,32.92,49.39,2.88,97.13,98.09,94.16,3.92,1.94
"Jordan Binnington","2023-10-14","2023020028","20232024","STL","SEA","1","G",65,100,1.08,32.23,47.13,2.7,96.66,97.71,94.27,3.45,1.63
"Jordan Binnington","2023-10-21","2023020075","20232024","STL","PIT","1","G",60,100,2.02,32.01,54.45,4.24,93.68,96.28,92.21,4.08,2.22
"Jordan Binnington","2023-10-24","2023020093","20232024","STL","WPG","0","G",58.97,98.28,2.86,29.78,40.04,2.35,90.39,92.85,94.14,-1.29,-0.52
"Jordan Binnington","2023-10-27","2023020116","20232024","STL","VAN","0","G",60,100,4.9,36.03,51.7,3.4,86.39,90.52,93.43,-2.91,-1.51
"Jordan Binnington","2023-11-01","2023020143","20232024","STL","COL","0","G",59.53,99.22,3.92,29.68,44.56,2.93,86.81,91.21,93.43,-2.21,-0.99
"Jordan Binnington","2023-11-03","2023020158","20232024","STL","N.J","1","G",60,100,1.01,33.39,50.98,3.81,96.97,98.01,92.54,5.48,2.79
"Jordan Binnington","2023-11-07","2023020184","20232024","STL","WPG","1","G",59.38,98.97,4.4,40.66,53.66,3.26,89.17,91.8,93.92,-2.12,-1.14
"Jordan Binnington","2023-11-11","2023020219","20232024","STL","COL","0","G",60,100,1.88,33.16,46.16,3.7,94.34,95.94,91.98,3.96,1.83
"Jordan Binnington","2023-11-14","2023020235","20232024","STL","T.B","1","G",60,100,0,29,42.46,2.93,100,100,93.11,6.89,2.93
"Jordan Binnington","2023-11-16","2023020250","20232024","STL","S.J","0","G",36.58,60.97,0.99,15.4,19.82,1.38,93.58,95.02,93.06,1.95,0.39
"Jordan Binnington","2023-11-18","2023020266","20232024","STL","L.A","0","G",59.87,99.78,4.89,33.42,54.12,3.66,85.36,90.96,93.24,-2.28,-1.23
"Jordan Binnington","2023-11-22","2023020287","20232024","STL","ARI","0","G",28,46.67,4.7,12.59,23.11,1.23,62.63,79.65,94.66,-15.01,-3.47
"Jordan Binnington","2023-11-24","2023020297","20232024","STL","NSH","1","G",37.08,61.81,4.45,24.39,28.25,2.71,81.77,84.26,90.41,-6.16,-1.74
"Jordan Binnington","2023-11-26","2023020317","20232024","STL","CHI","0","G",60,100,1.88,30.22,36.94,2.98,93.79,94.92,91.92,3,1.11
"Jordan Binnington","2023-11-28","2023020330","20232024","STL","MIN","0","G",57.4,95.67,2.88,38.02,52.35,3.03,92.43,94.5,94.22,0.29,0.15
"Jordan Binnington","2023-11-30","2023020348","20232024","STL","BUF","1","G",60,100,4,43.89,65.71,4.38,90.87,93.91,93.33,0.57,0.38
"Jordan Binnington","2023-12-04","2023020379","20232024","STL","VGK","0","G",60.63,100,0.87,31.91,46.72,4.54,97.29,98.15,90.28,7.87,3.68
"Jordan Binnington","2023-12-06","2023020390","20232024","STL","VGK","1","G",56.35,93.92,5.32,52.08,69.54,5.98,89.78,92.35,91.4,0.95,0.66
"Jordan Binnington","2023-12-09","2023020416","20232024","STL","CHI","0","G",56.27,93.78,2.92,25.36,41.1,3.55,88.48,92.89,91.36,1.54,0.63
"Jordan Binnington","2023-12-12","2023020436","20232024","STL","DET","1","G",59.62,99.36,5.15,31.31,45.01,3.62,83.54,88.55,91.96,-3.41,-1.53
