"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Marc-Andre Fleury","2023-10-17","2023020041","20232024","MIN","MTL","0","G",59.9,99.83,1.88,25.63,34.34,2.65,92.68,94.54,92.29,2.24,0.77
"Marc-Andre Fleury","2023-10-19","2023020056","20232024","MIN","L.A","1","G",58.52,97.53,5.28,27.73,37.13,1.86,80.97,85.79,94.99,-9.2,-3.42
"Marc-Andre Fleury","2023-10-27","2023020114","20232024","MIN","WSH","0","G",64.22,98.79,1.8,31.96,39.89,2.4,94.37,95.49,93.99,1.5,0.6
"Marc-Andre Fleury","2023-10-29","2023020127","20232024","MIN","N.J","0","G",57.3,95.5,3.75,30.53,41.48,2.55,87.72,90.96,93.86,-2.9,-1.2
"Marc-Andre Fleury","2023-11-04","2023020169","20232024","MIN","NYR","1","G",57.32,88.18,1.01,15.23,20.97,1.22,93.36,95.17,94.19,0.98,0.21
"Marc-Andre Fleury","2023-11-07","2023020182","20232024","MIN","NYI","0","G",59.87,99.78,1.87,27.62,44.48,3.57,93.23,95.79,91.97,3.82,1.7
"Marc-Andre Fleury","2023-11-09","2023020196","20232024","MIN","NYR","0","G",57.73,96.22,2.88,27.44,40.52,3.27,89.49,92.88,91.92,0.96,0.39
"Marc-Andre Fleury","2023-11-12","2023020223","20232024","MIN","DAL","1","G",60,100,9.25,43.39,60.4,5.93,78.69,84.69,90.19,-5.49,-3.32
"Marc-Andre Fleury","2023-11-19","2023020267","20232024","MIN","TOR","1","G",63.15,100,4.11,25.68,42.62,2.25,84.01,90.36,94.72,-4.35,-1.86
"Marc-Andre Fleury","2023-12-03","2023020369","20232024","MIN","CHI","1","G",59.58,99.31,1.01,27.14,35.58,2.77,96.29,97.17,92.21,4.96,1.76
"Marc-Andre Fleury","2023-12-08","2023020407","20232024","MIN","EDM","0","G",58.22,97.03,3.68,38.89,50.5,4.08,90.53,92.71,91.92,0.79,0.4
"Marc-Andre Fleury","2023-12-19","2023020484","20232024","MIN","BOS","0","G",62.9,100,2.92,43.28,59.39,4.31,93.26,95.09,92.74,2.35,1.39
"Marc-Andre Fleury","2023-12-23","2023020518","20232024","MIN","BOS","1","G",59.57,99.28,2.09,21.02,31.65,1.47,90.06,93.4,95.36,-1.96,-0.62
"Marc-Andre Fleury","2023-12-30","2023020555","20232024","MIN","WPG","0","G",17.48,29.14,0.99,10.56,14.73,1.01,90.64,93.29,93.17,0.12,0.02
"Marc-Andre Fleury","2023-12-31","2023020564","20232024","MIN","WPG","1","G",58.18,96.97,2.99,30.29,43.24,3.29,90.14,93.09,92.38,0.71,0.31
"Marc-Andre Fleury","2024-01-02","2023020578","20232024","MIN","CGY","1","G",59.55,99.25,2.15,35.25,52.03,3.02,93.89,95.86,94.2,1.66,0.87
"Marc-Andre Fleury","2024-01-04","2023020594","20232024","MIN","T.B","1","G",58.45,97.42,3.32,32.07,48.8,3.33,89.66,93.21,93.18,0.02,0.01
"Marc-Andre Fleury","2024-01-06","2023020609","20232024","MIN","CBJ","0","G",63.02,99.89,2.82,28.18,39.2,2.05,89.98,92.8,94.78,-1.98,-0.78
"Marc-Andre Fleury","2024-01-08","2023020623","20232024","MIN","DAL","1","G",59.97,99.94,4.51,22.87,35.4,2.19,80.26,87.25,93.82,-6.57,-2.32
"Marc-Andre Fleury","2024-01-12","2023020652","20232024","MIN","PHI","1","G",63.6,100,4.13,35.68,54.31,2.63,88.43,92.4,95.16,-2.76,-1.5
"Marc-Andre Fleury","2024-01-13","2023020665","20232024","MIN","ARI","1","G",33.33,55.56,1.07,17.86,23.94,1.31,94.01,95.53,94.53,1,0.24
"Marc-Andre Fleury","2024-01-15","2023020676","20232024","MIN","NYI","1","G",60,100,0,19.91,31,1.99,100,100,93.58,6.42,1.99
"Marc-Andre Fleury","2024-01-19","2023020704","20232024","MIN","FLA","0","G",30.5,50.83,0.94,9.88,16.04,1.13,90.51,94.15,92.92,1.23,0.2
"Marc-Andre Fleury","Total","-","23-24","MIN","-","-","G",55.75,91.42,64.43,628.09,897.62,60.25,89.74,92.82,93.29,-0.47,-4.18
