"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Philipp Grubauer","2023-10-10","2023020003","20232024","SEA","VGK","0","G",59.62,99.36,2.92,28.8,43.52,3.54,89.86,93.29,91.86,1.42,0.62
"Philipp Grubauer","2023-10-12","2023020015","20232024","SEA","NSH","0","G",57.87,96.44,1.97,33.65,51.24,4.34,94.16,96.16,91.54,4.62,2.37
"Philipp Grubauer","2023-10-17","2023020046","20232024","SEA","COL","1","G",59.65,99.42,3.16,29.31,40.1,2.42,89.22,92.12,93.96,-1.84,-0.74
"Philipp Grubauer","2023-10-21","2023020078","20232024","SEA","NYR","1","G",60,100,4.22,29.35,43.63,2.62,85.64,90.34,94,-3.66,-1.6
"Philipp Grubauer","2023-10-30","2023020133","20232024","SEA","T.B","0","G",62.88,100,2.74,33.52,47.37,3.23,91.82,94.21,93.18,1.03,0.49
"Philipp Grubauer","2023-11-02","2023020154","20232024","SEA","NSH","1","G",59.9,99.83,2.08,34.12,50.81,4.25,93.9,95.9,91.64,4.26,2.16
"Philipp Grubauer","2023-11-04","2023020170","20232024","SEA","CGY","1","G",58.7,97.83,4.15,29.7,38,3.06,86.03,89.08,91.95,-2.87,-1.09
"Philipp Grubauer","2023-11-09","2023020201","20232024","SEA","COL","0","G",60,100,2.81,24.23,34.12,1.7,88.39,91.75,95.03,-3.28,-1.12
"Philipp Grubauer","2023-11-11","2023020220","20232024","SEA","EDM","1","G",20,33.33,4.39,19.53,25.37,2.29,77.55,82.71,90.99,-8.27,-2.1
"Philipp Grubauer","2023-11-16","2023020248","20232024","SEA","NYI","1","G",65,100,3.17,23.49,41.78,3.07,86.52,92.42,92.66,-0.24,-0.1
"Philipp Grubauer","2023-11-18","2023020265","20232024","SEA","VAN","0","G",60,100,2.82,23.2,33.79,1.68,87.84,91.65,95.03,-3.37,-1.14
"Philipp Grubauer","2023-11-20","2023020277","20232024","SEA","CGY","1","G",20,31.51,2.14,7.47,11.89,0.74,71.39,82.02,93.74,-11.72,-1.39
"Philipp Grubauer","2023-11-28","2023020333","20232024","SEA","CHI","0","G",57.23,95.39,3.87,23.51,30.56,2.08,83.56,87.35,93.18,-5.84,-1.78
"Philipp Grubauer","2023-11-30","2023020346","20232024","SEA","TOR","0","G",64.73,99.59,2.92,29,36.18,3.24,89.95,91.94,91.05,0.89,0.32
"Philipp Grubauer","2023-12-04","2023020376","20232024","SEA","MTL","0","G",59.02,98.36,2.93,30.21,39.51,3.26,90.31,92.59,91.75,0.84,0.33
"Philipp Grubauer","2023-12-07","2023020403","20232024","SEA","N.J","1","G",57.95,96.58,2.12,18.33,36.91,1.88,88.42,94.25,94.9,-0.65,-0.24
"Philipp Grubauer","2023-12-09","2023020418","20232024","SEA","T.B","1","G",39.48,62.47,2.13,25.13,33.92,2.64,91.51,93.71,92.22,1.5,0.51
"Philipp Grubauer","Total","-","23-24","SEA","-","-","G",54.24,88.7,50.52,442.56,638.69,46.03,88.58,92.09,92.79,-0.7,-4.5
