"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Samuel Ersson","2023-10-21","2023020072","20232024","PHI","DAL","0","G",62.22,100,4.9,25.44,36.61,2.44,80.75,86.62,93.34,-6.72,-2.46
"Samuel Ersson","2023-10-28","2023020117","20232024","PHI","ANA","1","G",59.53,99.22,7.82,29.09,39.82,3.47,73.11,80.35,91.28,-10.92,-4.35
"Samuel Ersson","2023-11-01","2023020141","20232024","PHI","BUF","1","G",49.27,82.11,2.13,9.54,18.24,0.81,77.64,88.31,95.55,-7.24,-1.32
"Samuel Ersson","2023-11-03","2023020157","20232024","PHI","BUF","0","G",60,100,0.94,18.94,32.56,2.28,95.05,97.12,93.01,4.11,1.34
"Samuel Ersson","2023-11-07","2023020189","20232024","PHI","S.J","0","G",58.47,97.44,1.83,19.52,29.76,2.2,90.64,93.86,92.6,1.26,0.37
"Samuel Ersson","2023-11-10","2023020208","20232024","PHI","ANA","0","G",60,100,2.84,34.3,49.04,3.82,91.73,94.22,92.21,2,0.98
"Samuel Ersson","2023-11-19","2023020268","20232024","PHI","CBJ","1","G",60,100,2.02,21.36,36.84,2.59,90.53,94.51,92.97,1.54,0.57
"Samuel Ersson","2023-11-25","2023020312","20232024","PHI","NYI","0","G",65,100,0,24.38,36.01,2.41,100,100,93.32,6.68,2.41
"Samuel Ersson","2023-12-02","2023020363","20232024","PHI","PIT","0","G",65,100,2.92,30.89,50.27,3.87,90.54,94.19,92.3,1.89,0.95
"Samuel Ersson","2023-12-12","2023020435","20232024","PHI","NSH","0","G",60.3,100,3.01,22.11,37.38,2.43,86.38,91.95,93.5,-1.55,-0.58
"Samuel Ersson","2023-12-14","2023020448","20232024","PHI","WSH","1","G",64.8,99.69,3.15,31.8,44.62,3.94,90.09,92.94,91.16,1.78,0.79
"Samuel Ersson","2023-12-16","2023020465","20232024","PHI","DET","1","G",59.95,99.92,0,32.18,44.03,2.65,100,100,93.97,6.03,2.65
"Samuel Ersson","2023-12-19","2023020487","20232024","PHI","N.J","0","G",63.13,99.55,1.88,25.36,35.12,3.45,92.59,94.65,90.19,4.46,1.57
"Samuel Ersson","2023-12-21","2023020502","20232024","PHI","NSH","1","G",57.7,96.17,3.08,30.41,46.26,3.46,89.88,93.34,92.53,0.82,0.38
"Samuel Ersson","2023-12-28","2023020543","20232024","PHI","VAN","0","G",42.6,71,0.94,17.78,26.1,2.17,94.72,96.41,91.7,4.7,1.23
"Samuel Ersson","2023-12-31","2023020570","20232024","PHI","CGY","0","G",57.1,95.17,2.81,30.63,41.49,2.58,90.82,93.22,93.77,-0.55,-0.23
"Samuel Ersson","2024-01-04","2023020592","20232024","PHI","CBJ","1","G",64.87,99.79,2.02,28.13,40.31,2.72,92.81,94.98,93.26,1.72,0.69
"Samuel Ersson","2024-01-10","2023020635","20232024","PHI","MTL","1","G",65,100,2.13,19.82,32.8,2.3,89.24,93.5,92.97,0.53,0.17
"Samuel Ersson","2024-01-13","2023020663","20232024","PHI","WPG","0","G",59.92,99.86,0,31.97,52.83,3.1,100,100,94.14,5.86,3.1
"Samuel Ersson","2024-01-18","2023020694","20232024","PHI","DAL","1","G",60,100,1.01,14.34,24.9,1.53,92.94,95.94,93.86,2.07,0.52
"Samuel Ersson","2024-01-20","2023020707","20232024","PHI","COL","1","G",17.65,29.42,1.18,10.7,14.23,1.65,88.95,91.69,88.42,3.27,0.47
"Samuel Ersson","2024-01-21","2023020718","20232024","PHI","OTT","1","G",58.42,97.36,4.05,32.94,49.86,4.66,87.69,91.87,90.65,1.22,0.61
"Samuel Ersson","2024-01-23","2023020732","20232024","PHI","T.B","1","G",57.63,96.06,4.5,21.38,30.72,2.02,78.96,85.36,93.42,-8.06,-2.48
"Samuel Ersson","2024-01-25","2023020747","20232024","PHI","DET","0","G",60,100,2.93,17.56,27.56,1.36,83.33,89.38,95.05,-5.67,-1.56
"Samuel Ersson","2024-01-27","2023020759","20232024","PHI","BOS","1","G",20,33.33,4.27,15.35,17.59,1.49,72.15,75.7,91.54,-15.84,-2.79
"Samuel Ersson","Total","-","23-24","PHI","-","-","G",56.34,92.01,62.38,595.94,894.94,65.4,89.53,93.03,92.69,0.34,3.03
