"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Stuart Skinner","2023-10-11","2023020009","20232024","EDM","VAN","0","G",32.5,54.17,3.96,17.26,19.4,1.36,77.03,79.57,93.01,-13.44,-2.61
"Stuart Skinner","2023-10-14","2023020029","20232024","EDM","VAN","1","G",57.63,96.06,4.19,16.48,24.94,2.41,74.58,83.21,90.35,-7.14,-1.78
"Stuart Skinner","2023-10-21","2023020077","20232024","EDM","WPG","1","G",63.73,99.77,2.98,26.4,35.33,2.7,88.71,91.56,92.36,-0.8,-0.28
"Stuart Skinner","2023-10-26","2023020110","20232024","EDM","NYR","1","G",60,100,3.22,35.18,50.02,2.88,90.85,93.56,94.25,-0.69,-0.34
"Stuart Skinner","2023-10-29","2023020129","20232024","EDM","CGY","1","G",59.75,99.58,2.08,25.38,44.84,3.07,91.8,95.36,93.16,2.2,0.99
"Stuart Skinner","2023-11-02","2023020152","20232024","EDM","DAL","1","G",57.83,96.39,4.38,29.8,32.27,2.89,85.32,86.44,91.04,-4.6,-1.49
"Stuart Skinner","2023-11-06","2023020179","20232024","EDM","VAN","0","G",60,100,5.85,37.76,49.48,4.41,84.5,88.17,91.09,-2.91,-1.44
"Stuart Skinner","2023-11-09","2023020203","20232024","EDM","S.J","0","G",58.12,96.86,2.88,18.05,30.02,1.8,84.06,90.41,94.01,-3.6,-1.08
"Stuart Skinner","2023-11-11","2023020220","20232024","EDM","SEA","0","G",60,100,0.87,15.85,22.04,1.31,94.53,96.07,94.06,2.01,0.44
"Stuart Skinner","2023-11-13","2023020227","20232024","EDM","NYI","1","G",60,100,1.06,33.78,48.61,3.07,96.86,97.82,93.68,4.14,2.01
"Stuart Skinner","2023-11-15","2023020239","20232024","EDM","SEA","1","G",61.75,98.09,3.14,37.33,58.76,5.75,91.58,94.65,90.22,4.43,2.61
"Stuart Skinner","2023-11-18","2023020257","20232024","EDM","T.B","0","G",59,98.33,4.54,21.12,33.71,2.15,78.48,86.52,93.62,-7.1,-2.39
"Stuart Skinner","2023-11-22","2023020279","20232024","EDM","CAR","0","G",14.8,24.67,3.91,12.45,21.23,1.24,68.61,81.58,94.15,-12.56,-2.67
"Stuart Skinner","2023-11-24","2023020298","20232024","EDM","WSH","0","G",60,100,0,22.02,29.13,1.98,100,100,93.21,6.79,1.98
"Stuart Skinner","2023-11-26","2023020320","20232024","EDM","ANA","1","G",58.65,97.75,2.12,22.44,32.31,1.29,90.55,93.43,96.01,-2.58,-0.83
"Stuart Skinner","2023-11-28","2023020335","20232024","EDM","VGK","1","G",65,100,4.05,26.94,33.87,2.49,84.97,88.05,92.64,-4.59,-1.55
"Stuart Skinner","2023-11-30","2023020349","20232024","EDM","WPG","0","G",59.9,99.83,0.93,26.17,35.22,3.03,96.43,97.35,91.4,5.95,2.09
"Stuart Skinner","2023-12-06","2023020391","20232024","EDM","CAR","1","G",60,100,1.01,36.96,49.85,3.51,97.26,97.97,92.95,5.02,2.5
"Stuart Skinner","2023-12-08","2023020407","20232024","EDM","MIN","1","G",60,100,3.13,20.06,42.16,2.19,84.38,92.57,94.81,-2.25,-0.95
"Stuart Skinner","2023-12-12","2023020437","20232024","EDM","CHI","1","G",60,100,1.06,22.99,30,1.67,95.39,96.46,94.43,2.03,0.61
"Stuart Skinner","2023-12-14","2023020452","20232024","EDM","T.B","1","G",55.85,93.08,5.29,23.56,30.03,2.56,77.54,82.38,91.48,-9.1,-2.73
"Stuart Skinner","2023-12-19","2023020490","20232024","EDM","NYI","0","G",57.88,96.47,2.79,19.91,26.71,2.36,85.97,89.54,91.15,-1.6,-0.43
"Stuart Skinner","2023-12-22","2023020511","20232024","EDM","NYR","0","G",59.6,99.33,3.01,34.5,43,3.13,91.27,93,92.71,0.29,0.12
"Stuart Skinner","2023-12-28","2023020545","20232024","EDM","S.J","0","G",60,100,0,21.86,34.71,2.76,100,100,92.06,7.94,2.76
"Stuart Skinner","2023-12-30","2023020563","20232024","EDM","L.A","0","G",65,100,1.92,27.87,40.75,2.61,93.11,95.29,93.6,1.68,0.69
"Stuart Skinner","2024-01-02","2023020583","20232024","EDM","PHI","1","G",59.12,98.53,2.02,35.73,39.59,3.18,94.34,94.89,91.97,2.92,1.16
"Stuart Skinner","2024-01-06","2023020615","20232024","EDM","OTT","1","G",60,100,1.01,30.16,47.05,2.98,96.64,97.85,93.66,4.19,1.97
"Stuart Skinner","2024-01-09","2023020632","20232024","EDM","CHI","0","G",60,100,0.94,23.95,36.46,2.65,96.05,97.41,92.73,4.68,1.7
"Stuart Skinner","2024-01-13","2023020660","20232024","EDM","MTL","0","G",61.53,99.22,0.93,24.06,33.9,2.27,96.12,97.25,93.31,3.94,1.34
"Stuart Skinner","2024-01-16","2023020688","20232024","EDM","TOR","1","G",59.7,99.5,2.13,29.79,45.15,4.1,92.84,95.28,90.93,4.35,1.97
"Stuart Skinner","2024-01-18","2023020698","20232024","EDM","SEA","1","G",60,100,2.13,27.46,39.19,2.79,92.24,94.56,92.88,1.68,0.66
"Stuart Skinner","2024-01-20","2023020714","20232024","EDM","CGY","0","G",59.85,99.75,0.94,25.35,32.65,2.14,96.3,97.13,93.44,3.69,1.2
"Stuart Skinner","2024-01-23","2023020736","20232024","EDM","CBJ","1","G",60,100,1.01,27.12,40.3,3.62,96.27,97.49,91.03,6.46,2.6
"Stuart Skinner","2024-01-27","2023020761","20232024","EDM","NSH","1","G",60,100,1.01,27.68,46.64,4.24,96.34,97.83,90.91,6.92,3.23
"Stuart Skinner","Total","-","23-24","EDM","-","-","G",57.86,95.55,80.53,883.44,1259.32,92.57,90.88,93.61,92.65,0.96,12.04
