"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Thatcher Demko","2023-10-11","2023020009","20232024","VAN","EDM","1","G",48.08,80.14,1.01,21,29.7,2.2,95.21,96.61,92.58,4.04,1.2
"Thatcher Demko","2023-10-17","2023020042","20232024","VAN","PHI","0","G",57.5,95.83,1.98,44.2,49.4,4.46,95.52,96,90.98,5.02,2.48
"Thatcher Demko","2023-10-19","2023020055","20232024","VAN","T.B","0","G",57.73,96.22,3.81,34.89,40.6,4.12,89.08,90.62,89.86,0.76,0.31
"Thatcher Demko","2023-10-24","2023020095","20232024","VAN","NSH","0","G",60,100,1.88,15.28,24.05,1.38,87.72,92.2,94.26,-2.06,-0.49
"Thatcher Demko","2023-10-27","2023020116","20232024","VAN","STL","1","G",60,100,0,20.91,29.18,1.64,100,100,94.37,5.63,1.64
"Thatcher Demko","2023-10-31","2023020140","20232024","VAN","NSH","1","G",59.73,99.56,2.07,29.19,51.2,4.32,92.9,95.95,91.57,4.38,2.25
"Thatcher Demko","2023-11-02","2023020156","20232024","VAN","S.J","0","G",60,100,0.87,26.75,38.68,3.08,96.76,97.76,92.05,5.72,2.21
"Thatcher Demko","2023-11-04","2023020172","20232024","VAN","DAL","1","G",60,100,0,27.11,47.19,3.87,100,100,91.8,8.2,3.87
"Thatcher Demko","2023-11-06","2023020179","20232024","VAN","EDM","1","G",60,100,2.09,41.75,54.78,3.64,95,96.19,93.35,2.83,1.55
"Thatcher Demko","2023-11-11","2023020215","20232024","VAN","TOR","0","G",60,100,4.8,21.35,38.74,3.26,77.53,87.62,91.57,-3.96,-1.53
"Thatcher Demko","2023-11-15","2023020241","20232024","VAN","NYI","1","G",62.52,99.87,3.33,36.14,46.26,3.2,90.78,92.8,93.08,-0.28,-0.13
"Thatcher Demko","2023-11-18","2023020265","20232024","VAN","SEA","1","G",57.42,95.69,4.22,26.79,36.95,2.88,84.27,88.59,92.21,-3.62,-1.34
"Thatcher Demko","2023-11-20","2023020278","20232024","VAN","S.J","1","G",60,100,1.01,27.8,40.06,2.98,96.38,97.49,92.57,4.92,1.97
"Thatcher Demko","2023-11-22","2023020291","20232024","VAN","COL","0","G",59.42,99.03,3.74,23.27,30.13,1.75,83.91,87.58,94.19,-6.62,-1.99
"Thatcher Demko","2023-11-24","2023020307","20232024","VAN","SEA","0","G",60,100,0.94,21.42,32.95,1.96,95.62,97.15,94.04,3.12,1.03
"Thatcher Demko","2023-11-28","2023020336","20232024","VAN","ANA","1","G",60,100,1.01,30.49,45.49,3.23,96.7,97.79,92.9,4.89,2.23
"Thatcher Demko","2023-11-30","2023020353","20232024","VAN","VGK","1","G",60,100,4.39,50.96,61.77,3.49,91.39,92.9,94.36,-1.46,-0.9
"Thatcher Demko","2023-12-02","2023020367","20232024","VAN","CGY","0","G",60,100,2.84,20.6,34.99,2.85,86.23,91.89,91.87,0.02,0.01
"Thatcher Demko","2023-12-05","2023020387","20232024","VAN","N.J","1","G",59.43,99.06,6.51,36.03,42.01,4.71,81.94,84.51,88.79,-4.28,-1.8
"Thatcher Demko","2023-12-09","2023020419","20232024","VAN","CAR","1","G",59.68,99.47,3.03,23.38,40.98,3.54,87.04,92.61,91.36,1.25,0.51
"Thatcher Demko","2023-12-12","2023020439","20232024","VAN","T.B","1","G",60,100,1.06,28.88,44.69,3.74,96.33,97.63,91.63,5.99,2.68
"Thatcher Demko","2023-12-14","2023020454","20232024","VAN","FLA","1","G",60,100,0,33.89,45.98,3.51,100,100,92.36,7.64,3.51
"Thatcher Demko","2023-12-17","2023020474","20232024","VAN","CHI","0","G",60,100,2.74,26.32,39.5,2.64,89.57,93.05,93.33,-0.27,-0.11
"Thatcher Demko","2023-12-21","2023020505","20232024","VAN","DAL","0","G",64.83,100,3.85,34.42,48.87,3.36,88.83,92.13,93.13,-0.99,-0.49
"Thatcher Demko","2023-12-23","2023020527","20232024","VAN","S.J","1","G",60,100,4.05,24.19,31.3,2.76,83.26,87.07,91.17,-4.1,-1.28
"Thatcher Demko","2024-01-02","2023020584","20232024","VAN","OTT","1","G",60,100,2.99,35.47,41.73,2.87,91.56,92.83,93.11,-0.29,-0.12
"Thatcher Demko","2024-01-04","2023020596","20232024","VAN","STL","0","G",56.72,94.53,1.88,30.32,42.24,2.36,93.79,95.54,94.41,1.13,0.48
"Thatcher Demko","2024-01-06","2023020611","20232024","VAN","N.J","0","G",60,100,3.75,22.45,28.74,1.61,83.29,86.95,94.39,-7.44,-2.14
"Thatcher Demko","2024-01-08","2023020621","20232024","VAN","NYR","0","G",60,100,2.81,37.88,49.4,4.13,92.58,94.31,91.64,2.68,1.32
"Thatcher Demko","2024-01-11","2023020643","20232024","VAN","PIT","0","G",62.93,99.76,2.91,32.12,44.74,3.31,90.94,93.5,92.59,0.91,0.41
"Thatcher Demko","2024-01-13","2023020654","20232024","VAN","BUF","0","G",60,100,0,24.24,34.31,1.92,100,100,94.4,5.6,1.92
"Thatcher Demko","2024-01-18","2023020700","20232024","VAN","ARI","1","G",60,100,1.01,21.27,26.24,1.77,95.24,96.14,93.24,2.91,0.76
"Thatcher Demko","2024-01-20","2023020712","20232024","VAN","TOR","1","G",59.37,98.94,4.04,44.34,55.99,2.97,90.88,92.78,94.7,-1.91,-1.07
"Thatcher Demko","2024-01-22","2023020728","20232024","VAN","CHI","1","G",59.43,99.06,0,29.59,38.08,3.44,100,100,90.97,9.03,3.44
"Thatcher Demko","2024-01-27","2023020772","20232024","VAN","CBJ","1","G",63.93,99.87,4.4,32.15,41.87,2.36,86.31,89.49,94.37,-4.88,-2.05
"Thatcher Demko","Total","-","23-24","VAN","-","-","G",59.68,98.78,85,1036.86,1428.8,105.32,91.8,94.05,92.63,1.42,20.33
