"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Tristan Jarry","2023-10-10","2023020002","20232024","PIT","CHI","1","G",57.5,95.83,3.08,34.26,52.21,4.57,90.99,94.09,91.25,2.84,1.48
"Tristan Jarry","2023-10-13","2023020018","20232024","PIT","WSH","0","G",60,100,0,17.31,28.83,1.85,100,100,93.59,6.41,1.85
"Tristan Jarry","2023-10-18","2023020050","20232024","PIT","DET","0","G",59.42,99.03,3.87,27.31,37.3,2.02,85.85,89.64,94.59,-4.95,-1.85
"Tristan Jarry","2023-10-21","2023020075","20232024","PIT","STL","0","G",58.03,96.72,3.87,21.73,35.18,3.34,82.21,89.01,90.5,-1.48,-0.52
"Tristan Jarry","2023-10-26","2023020105","20232024","PIT","COL","1","G",60,100,0,28.86,44.75,2.88,100,100,93.57,6.43,2.88
"Tristan Jarry","2023-10-28","2023020123","20232024","PIT","OTT","1","G",25.47,42.44,3.22,9.94,17.89,1.35,67.61,82,92.44,-10.43,-1.87
"Tristan Jarry","2023-10-30","2023020132","20232024","PIT","ANA","1","G",59.7,99.5,4.18,27.97,37.63,2.58,85.06,88.9,93.14,-4.24,-1.6
"Tristan Jarry","2023-11-04","2023020171","20232024","PIT","S.J","0","G",59.1,98.5,1.73,22.64,35.54,2.88,92.35,95.13,91.9,3.22,1.15
"Tristan Jarry","2023-11-07","2023020187","20232024","PIT","ANA","0","G",38.25,63.75,0,19.27,21,1.8,100,100,91.42,8.58,1.8
"Tristan Jarry","2023-11-11","2023020217","20232024","PIT","BUF","1","G",60,100,0,34.24,47.8,2.72,100,100,94.31,5.69,2.72
"Tristan Jarry","2023-11-14","2023020230","20232024","PIT","CBJ","0","G",60,100,2.82,28.78,50.62,3.59,90.2,94.43,92.91,1.52,0.77
"Tristan Jarry","2023-11-16","2023020245","20232024","PIT","N.J","1","G",60,100,5.24,32.57,43.19,3.05,83.9,87.86,92.93,-5.07,-2.19
"Tristan Jarry","2023-11-18","2023020259","20232024","PIT","CAR","0","G",59.4,99,2.83,31.88,49.16,3.15,91.13,94.25,93.6,0.65,0.32
"Tristan Jarry","2023-11-22","2023020283","20232024","PIT","NYR","1","G",59.5,99.17,1.06,39.93,51.66,3.63,97.34,97.95,92.98,4.97,2.57
"Tristan Jarry","2023-11-25","2023020311","20232024","PIT","TOR","1","G",59.88,99.81,2.12,34.28,52.65,5.2,93.81,95.97,90.12,5.85,3.08
"Tristan Jarry","2023-11-28","2023020331","20232024","PIT","NSH","0","G",59.92,99.47,3.01,26.28,40.37,2.16,88.54,92.54,94.64,-2.1,-0.85
"Tristan Jarry","2023-11-30","2023020345","20232024","PIT","T.B","0","G",60,100,1.94,40.16,61.04,3.97,95.17,96.82,93.5,3.32,2.03
"Tristan Jarry","2023-12-02","2023020363","20232024","PIT","PHI","1","G",63.57,97.79,3.1,34.65,46.19,3.07,91.07,93.3,93.36,-0.06,-0.03
"Tristan Jarry","2023-12-06","2023020389","20232024","PIT","T.B","0","G",58.43,97.39,2.92,28.28,44.93,2.98,89.69,93.51,93.36,0.15,0.07
"Tristan Jarry","2023-12-08","2023020406","20232024","PIT","FLA","0","G",58.42,97.36,1.88,30.75,49.51,3.87,93.88,96.2,92.19,4.01,1.99
"Tristan Jarry","2023-12-12","2023020434","20232024","PIT","ARI","1","G",59.85,99.75,2.08,21.5,41.89,2.6,90.31,95.03,93.8,1.23,0.52
"Tristan Jarry","2023-12-16","2023020466","20232024","PIT","TOR","0","G",21.93,36.56,3.91,14.46,20.34,2.25,72.97,80.78,88.93,-8.15,-1.66
"Tristan Jarry","2023-12-27","2023020533","20232024","PIT","NYI","0","G",60,100,0,19.51,30.46,1.67,100,100,94.5,5.5,1.67
"Tristan Jarry","2023-12-30","2023020559","20232024","PIT","STL","1","G",60,100,2.02,26.65,41.47,2.17,92.43,95.13,94.76,0.37,0.15
"Tristan Jarry","2024-01-02","2023020576","20232024","PIT","WSH","1","G",13.03,21.72,3.2,7.53,10.97,0.42,57.49,70.79,96.17,-25.38,-2.78
"Tristan Jarry","2024-01-06","2023020612","20232024","PIT","BUF","1","G",58.3,97.17,3.19,36.02,50.71,2.82,91.14,93.7,94.45,-0.74,-0.38
"Tristan Jarry","2024-01-11","2023020643","20232024","PIT","VAN","1","G",41.12,65.18,0.97,22.16,31.43,2.34,95.63,96.92,92.56,4.36,1.37
"Tristan Jarry","2024-01-13","2023020657","20232024","PIT","CAR","0","G",60.83,98.62,2.97,36.38,53.92,3.91,91.85,94.5,92.75,1.75,0.94
"Tristan Jarry","2024-01-15","2023020677","20232024","PIT","SEA","1","G",60,100,0,21.25,36.52,1.85,100,100,94.94,5.06,1.85
"Tristan Jarry","2024-01-20","2023020716","20232024","PIT","VGK","0","G",58.83,98.06,2.82,27.37,40.48,3.03,89.69,93.03,92.52,0.51,0.21
"Tristan Jarry","2024-01-22","2023020727","20232024","PIT","ARI","0","G",59.58,99.31,3.82,26.82,41.49,2.51,85.75,90.79,93.95,-3.16,-1.31
"Tristan Jarry","2024-01-27","2023020766","20232024","PIT","MTL","1","G",62.72,100,2.14,28.52,45.71,2.69,92.5,95.32,94.11,1.21,0.55
"Tristan Jarry","Total","-","23-24","PIT","-","-","G",54.77,90.69,73.98,859.24,1292.86,88.91,91.39,94.28,93.12,1.15,14.93
