"Player","Date","Game_ID","Season","Team","Opponent","Is_Home","Position","TOI","TOI%","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAx"
"Vitek Vanecek","2023-10-12","2023020012","20232024","N.J","DET","1","G",59.97,99.94,3.04,35.78,47.11,3.14,91.52,93.56,93.33,0.22,0.11
"Vitek Vanecek","2023-10-16","2023020036","20232024","N.J","FLA","1","G",56,93.33,4.39,34.49,43.94,3.01,87.28,90.02,93.16,-3.14,-1.38
"Vitek Vanecek","2023-10-24","2023020087","20232024","N.J","MTL","0","G",59.65,99.42,1.98,27.61,35.83,2.42,92.84,94.48,93.24,1.24,0.44
"Vitek Vanecek","2023-10-25","2023020099","20232024","N.J","WSH","1","G",37.22,62.03,2.07,17,25.73,1.38,87.84,91.97,94.63,-2.66,-0.69
"Vitek Vanecek","2023-10-27","2023020113","20232024","N.J","BUF","1","G",60,100,4.15,27.66,40.91,3.18,85.01,89.87,92.24,-2.37,-0.97
"Vitek Vanecek","2023-10-29","2023020127","20232024","N.J","MIN","1","G",60,100,3.1,32.97,46.71,3.76,90.59,93.36,91.95,1.42,0.66
"Vitek Vanecek","2023-11-02","2023020151","20232024","N.J","MIN","0","G",60,100,2.74,22.31,34.74,2.05,87.71,92.11,94.1,-1.99,-0.69
"Vitek Vanecek","2023-11-05","2023020174","20232024","N.J","CHI","0","G",59.92,99.86,1.88,32.05,38.4,2.2,94.12,95.1,94.27,0.82,0.32
"Vitek Vanecek","2023-11-07","2023020188","20232024","N.J","COL","0","G",58.47,97.44,4.68,29.86,42.3,3.52,84.33,88.94,91.69,-2.75,-1.16
"Vitek Vanecek","2023-11-10","2023020206","20232024","N.J","WSH","1","G",10.62,17.69,2.13,5.27,6.39,0.28,59.54,66.62,95.59,-28.97,-1.85
"Vitek Vanecek","2023-11-16","2023020245","20232024","N.J","PIT","0","G",59.95,99.92,1.89,21.87,34.93,2.5,91.36,94.59,92.83,1.76,0.61
"Vitek Vanecek","2023-11-18","2023020261","20232024","N.J","NYR","1","G",57.48,95.81,4.21,34.7,45.04,3.07,87.86,90.65,93.19,-2.53,-1.14
"Vitek Vanecek","2023-11-22","2023020281","20232024","N.J","DET","0","G",59.52,99.19,3.92,29.39,37.84,2.21,86.68,89.65,94.15,-4.5,-1.7
"Vitek Vanecek","2023-11-25","2023020310","20232024","N.J","BUF","1","G",59.4,99,2.01,11.21,20.62,1.26,82.05,90.24,93.9,-3.65,-0.75
"Vitek Vanecek","2023-11-28","2023020327","20232024","N.J","NYI","1","G",33.08,55.14,4.22,18.94,26.48,2.91,77.71,84.06,89.01,-4.95,-1.31
"Vitek Vanecek","2023-12-05","2023020387","20232024","N.J","VAN","0","G",59.62,99.36,4.62,29.44,35.47,3.81,84.31,86.98,89.25,-2.27,-0.81
"Vitek Vanecek","2023-12-09","2023020409","20232024","N.J","CGY","0","G",59.87,99.78,1.87,23.81,36.92,2.43,92.14,94.93,93.42,1.51,0.56
"Vitek Vanecek","2023-12-13","2023020443","20232024","N.J","BOS","1","G",62.78,100,1.06,25.43,40.45,3.23,95.83,97.38,92.01,5.37,2.17
"Vitek Vanecek","2023-12-19","2023020487","20232024","N.J","PHI","1","G",63.42,100,2.99,26.46,42.97,2.26,88.69,93.04,94.75,-1.72,-0.74
"Vitek Vanecek","2023-12-21","2023020501","20232024","N.J","EDM","1","G",54.6,91,4.22,34.32,45.7,3.19,87.72,90.78,93.02,-2.24,-1.02
"Vitek Vanecek","2023-12-23","2023020519","20232024","N.J","DET","1","G",60,100,2.12,25.56,38.1,2.37,91.7,94.43,93.78,0.65,0.25
"Vitek Vanecek","2023-12-27","2023020528","20232024","N.J","CBJ","1","G",61.77,99.3,3.18,31.89,46.5,3.54,90.02,93.16,92.4,0.76,0.35
"Vitek Vanecek","2023-12-30","2023020557","20232024","N.J","BOS","0","G",60,100,4.79,29.83,39.14,2.73,83.94,87.76,93.03,-5.27,-2.06
"Vitek Vanecek","2024-01-05","2023020602","20232024","N.J","CHI","1","G",59.85,99.75,2.15,26.66,35.21,1.86,91.92,93.88,94.72,-0.84,-0.3
"Vitek Vanecek","2024-01-11","2023020644","20232024","N.J","T.B","0","G",61.87,100,3.94,19.83,31.66,2.19,80.15,87.56,93.07,-5.51,-1.74
"Vitek Vanecek","2024-01-19","2023020703","20232024","N.J","CBJ","0","G",59.75,99.58,0.94,27.7,45.08,2.66,96.59,97.9,94.1,3.8,1.71
"Vitek Vanecek","2024-01-22","2023020725","20232024","N.J","VGK","1","G",62.58,100,5.24,33.22,43.72,3.14,84.23,88.02,92.81,-4.79,-2.09
"Vitek Vanecek","2024-01-25","2023020746","20232024","N.J","CAR","0","G",34.28,57.14,0,11.92,23.85,1.11,100,100,95.33,4.67,1.11
"Vitek Vanecek","2024-01-27","2023020767","20232024","N.J","T.B","0","G",58.28,97.14,3.91,41.24,56.85,3.68,90.52,93.12,93.53,-0.41,-0.23
"Vitek Vanecek","Total","-","23-24","N.J","-","-","G",55.51,91.85,87.43,768.4,1088.59,75.09,88.62,91.97,93.1,-1.13,-12.34
